# IDX        LATG        LATC        LONW          MU          TB
  198      -35.26      -29.91      176.04      0.6039      -20.31
  199      -35.19      -29.84      170.98      0.5527      -23.87
  200      -35.11      -29.77      165.38      0.4911      -24.54
  201      -35.01      -29.68      158.94      0.4143      -22.24
  202      -34.87      -29.55      150.91      0.3114      -18.37
  203      -34.63      -29.34      137.80      0.1308      -14.32
  204      -30.80      -25.88      290.60      0.2837       -9.07
  205      -30.95      -26.01      282.05      0.4010      -13.07
  206      -31.06      -26.11      275.44      0.4857      -16.44
  207      -31.15      -26.19      269.78      0.5530      -18.64
  208      -31.22      -26.25      264.73      0.6086      -19.61
  209      -31.28      -26.30      260.08      0.6556      -19.74
  210      -31.33      -26.35      255.72      0.6958      -19.71
  211      -31.37      -26.39      251.60      0.7301      -19.93
  212      -31.41      -26.42      247.64      0.7596      -20.12
  213      -31.44      -26.45      243.83      0.7846      -19.61
  214      -31.47      -26.47      240.13      0.8056      -18.33
  215      -31.49      -26.49      236.51      0.8230      -17.16
  216      -31.51      -26.51      232.96      0.8369      -17.11
  217      -31.52      -26.52      229.46      0.8475      -18.55
  218      -31.53      -26.53      226.00      0.8549      -21.48
  219      -31.54      -26.54      222.56      0.8593      -25.99
  220      -31.54      -26.54      219.13      0.8607      -31.65
  221      -31.54      -26.54      215.71      0.8590      -36.50
  222      -31.53      -26.53      212.27      0.8543      -37.84
  223      -31.52      -26.52      208.80      0.8466      -34.63
  224      -31.51      -26.51      205.30      0.8356      -28.61
  225      -31.49      -26.49      201.74      0.8214      -22.76
  226      -31.47      -26.47      198.12      0.8037      -18.71
  227      -31.44      -26.45      194.40      0.7823      -16.35
  228      -31.41      -26.42      190.58      0.7568      -15.17
  229      -31.37      -26.38      186.61      0.7269      -15.20
  230      -31.32      -26.34      182.46      0.6920      -16.31
  231      -31.27      -26.30      178.08      0.6513      -17.48
  232      -31.21      -26.24      173.40      0.6035      -17.63
  233      -31.14      -26.18      168.29      0.5468      -16.87
  234      -31.05      -26.10      162.56      0.4782      -16.48
  235      -30.94      -26.00      155.82      0.3912      -17.24
  236      -30.78      -25.86      146.95      0.2687      -18.24
  237      -26.78      -22.32      296.22      0.2095       -6.27
  238      -26.96      -22.49      285.92      0.3611      -10.38
  239      -27.09      -22.59      278.74      0.4600      -15.59
  240      -27.18      -22.68      272.82      0.5363      -20.87
  241      -27.26      -22.74      267.62      0.5985      -24.74
  242      -27.32      -22.80      262.90      0.6508      -26.32
