# IDX        LATG        LATC        LONW          MU          TB
  122      -43.93      -38.09      231.10      0.7162      232.47
  123      -43.94      -38.10      227.07      0.7247      233.96
  124      -43.95      -38.11      223.08      0.7297      235.96
  125      -43.95      -38.11      219.11      0.7312      236.95
  126      -43.95      -38.11      215.13      0.7293      236.10
  127      -43.94      -38.10      211.14      0.7240      233.72
  128      -43.92      -38.09      207.10      0.7152      230.96
  129      -43.91      -38.07      203.01      0.7028      229.02
  130      -43.88      -38.04      198.84      0.6865      228.46
  131      -43.85      -38.02      194.55      0.6661      228.87
  132      -43.82      -37.98      190.12      0.6411      229.04
  133      -43.77      -37.94      185.49      0.6112      227.52
  134      -43.72      -37.89      180.61      0.5753      223.01
  135      -43.66      -37.83      175.39      0.5324      214.36
  136      -43.58      -37.76      169.69      0.4805      200.39
  137      -43.49      -37.67      163.26      0.4164      180.09
  138      -43.37      -37.55      155.57      0.3329      153.38
  139      -43.19      -37.37      144.96      0.2079      121.78
  140      -38.88      -33.27      294.52      0.2089      124.93
  141      -39.07      -33.44      284.03      0.3418      159.47
  142      -39.19      -33.56      276.52      0.4300      186.53
  143      -39.28      -33.64      270.26      0.4978      205.62
  144      -39.36      -33.72      264.73      0.5529      218.38
  145      -39.42      -33.77      259.68      0.5988      226.52
  146      -39.47      -33.82      254.97      0.6374      231.25
  147      -39.52      -33.87      250.52      0.6700      233.38
  148      -39.55      -33.90      246.26      0.6975      233.45
  149      -39.59      -33.93      242.15      0.7205      232.04
  150      -39.61      -33.96      238.15      0.7394      230.14
  151      -39.63      -33.98      234.25      0.7544      229.08
  152      -39.65      -33.99      230.41      0.7659      229.72
  153      -39.66      -34.00      226.62      0.7739      231.66
  154      -39.67      -34.01      222.86      0.7786      233.40
  155      -39.67      -34.01      219.12      0.7801      233.38
  156      -39.67      -34.01      215.37      0.7783      231.16
  157      -39.66      -34.00      211.61      0.7732      227.86
  158      -39.65      -33.99      207.82      0.7649      225.35
  159      -39.63      -33.97      203.97      0.7531      224.94
  160      -39.61      -33.95      200.06      0.7377      226.51
  161      -39.58      -33.93      196.05      0.7184      228.76
  162      -39.55      -33.90      191.93      0.6950      230.17
  163      -39.51      -33.86      187.65      0.6670      229.64
  164      -39.47      -33.82      183.18      0.6338      226.40
  165      -39.41      -33.77      178.44      0.5945      219.71
  166      -39.35      -33.71      173.35      0.5479      208.76
  167      -39.27      -33.64      167.76      0.4917      192.95
  168      -39.18      -33.55      161.41      0.4222      172.10
  169      -39.05      -33.43      153.72      0.3312      146.59
  170      -38.86      -33.25      142.64      0.1898      117.69
  171      -34.67      -29.37      298.80      0.1592      122.81
  172      -34.89      -29.57      286.78      0.3236      158.29
  173      -35.02      -29.69      278.97      0.4229      185.71
  174      -35.12      -29.78      272.63      0.4978      204.29
  175      -35.20      -29.85      267.10      0.5583      216.11
  176      -35.26      -29.91      262.09      0.6086      223.36
  177      -35.32      -29.96      257.44      0.6511      227.37
  178      -35.37      -30.01      253.07      0.6873      229.07
  179      -35.41      -30.04      248.90      0.7181      229.28
  180      -35.44      -30.08      244.90      0.7441      228.68
  181      -35.47      -30.10      241.01      0.7660      227.75
