# VLA smeared map of saturn, X band, 2.5 - 3.76 cm, 8 - 12 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -30.6     -30.4     -0.15      1.04      0.57     0.019        10
     -30.4     -30.2     -0.70      0.89      0.58     0.019        16
     -30.2     -30.0     -1.04      0.45      0.59     0.014        21
     -30.0     -29.8     -0.52      0.14      0.58     0.002         4
     -29.8     -29.6     -1.41      0.54      0.58     0.012        10
     -29.6     -29.4     -1.88      0.69      0.59     0.011        10
     -29.4     -29.2     -1.82      0.42      0.60     0.009        10
     -29.2     -29.0     -2.11      0.42      0.60     0.015        23
     -29.0     -28.8     -2.25      0.04      0.60     0.002         4
     -28.8     -28.6     -2.75      0.28      0.60     0.010         8
     -28.6     -28.4     -3.10      0.41      0.60     0.012        10
     -28.4     -28.2     -3.04      0.65      0.60     0.019        16
     -28.2     -28.0     -2.85      0.53      0.62     0.015        20
     -28.0     -27.8     -2.95      0.69      0.60     0.022        15
     -27.8     -27.6     -3.14      0.52      0.60     0.018         8
     -27.6     -27.4     -3.66      0.40      0.61     0.011        10
     -27.4     -27.2     -3.50      0.42      0.62     0.010        12
     -27.2     -27.0     -3.25      0.77      0.62     0.023        24
     -27.0     -26.8     -3.25      0.58      0.63     0.015        13
     -26.8     -26.6     -2.96      0.85      0.62     0.012         8
     -26.6     -26.4     -3.52      0.76      0.63     0.010        10
     -26.4     -26.2     -3.22      0.55      0.63     0.018        12
     -26.2     -26.0     -3.12      0.54      0.64     0.018        22
     -26.0     -25.8     -2.82      0.54      0.64     0.015        15
     -25.8     -25.6     -2.38      0.90      0.63     0.012         8
     -25.6     -25.4     -2.70      0.94      0.64     0.010        10
     -25.4     -25.2     -2.21      0.53      0.65     0.017        12
     -25.2     -25.0     -2.09      0.52      0.65     0.017        26
     -25.0     -24.8     -1.58      0.88      0.65     0.023        13
     -24.8     -24.6     -1.42      0.83      0.64     0.011         8
     -24.6     -24.4     -1.26      0.81      0.65     0.016        14
     -24.4     -24.2     -0.97      0.50      0.66     0.017        14
     -24.2     -24.0     -1.00      0.46      0.67     0.017        27
     -24.0     -23.8     -0.82      0.12      0.66     0.002         4
     -23.8     -23.6     -0.66      0.59      0.66     0.012        10
     -23.6     -23.4     -0.33      0.44      0.67     0.011        10
     -23.4     -23.2     -0.36      0.37      0.66     0.024        20
     -23.2     -23.0     -0.42      0.30      0.68     0.014        23
     -23.0     -22.8     -0.53      0.48      0.67     0.011        10
     -22.8     -22.6     -0.59      0.56      0.67     0.017        12
     -22.6     -22.4     -0.57      0.39      0.68     0.019        10
     -22.4     -22.2     -0.82      0.22      0.69     0.011        18
     -22.2     -22.0     -0.78      0.37      0.69     0.017        21
     -22.0     -21.8     -1.56      0.74      0.68     0.018        10
     -21.8     -21.6     -1.62      0.80      0.69     0.012        10
     -21.6     -21.4     -1.80      0.41      0.69     0.019        16
     -21.4     -21.2     -1.89      0.44      0.70     0.026        26
     -21.2     -21.0     -1.94      0.48      0.69     0.021        17
     -21.0     -20.8     -2.55      0.85      0.69     0.018        12
     -20.8     -20.6     -2.65      0.94      0.70     0.016        12
     -20.6     -20.4     -3.01      0.42      0.71     0.010        14
     -20.4     -20.2     -2.47      0.55      0.72     0.017        25
     -20.2     -20.0     -2.37      0.62      0.69     0.019        14
     -20.0     -19.8     -2.43      1.05      0.70     0.024        14
     -19.8     -19.6     -2.77      1.06      0.71     0.017        14
     -19.6     -19.4     -2.39      0.98      0.72     0.024        24
     -19.4     -19.2     -2.13      0.77      0.72     0.017        17
     -19.2     -19.0     -1.94      0.65      0.72     0.010        10
     -19.0     -18.8     -1.83      1.01      0.72     0.018        16
     -18.8     -18.6     -1.80      1.12      0.72     0.023        18
     -18.6     -18.4     -1.55      0.90      0.73     0.022        27
     -18.4     -18.2     -0.95      0.57      0.72     0.011        10
     -18.2     -18.0     -1.24      0.87      0.71     0.024        16
     -18.0     -17.8     -1.56      1.10      0.74     0.010        12
     -17.8     -17.6     -1.50      0.98      0.74     0.018        24
     -17.6     -17.4     -0.89      0.81      0.73     0.024        21
     -17.4     -17.2     -1.14      0.84      0.72     0.025        14
     -17.2     -17.0     -1.97      1.64      0.75     0.011        12
     -17.0     -16.8     -1.86      1.16      0.75     0.016        16
     -16.8     -16.6     -1.75      1.17      0.75     0.021        27
     -16.6     -16.4     -1.06      0.72      0.73     0.018        12
     -16.4     -16.2     -1.89      1.39      0.75     0.016        14
     -16.2     -16.0     -2.37      1.79      0.75     0.019        18
     -16.0     -15.8     -2.69      1.33      0.77     0.014        27
     -15.8     -15.6     -0.98      0.72      0.74     0.017        10
     -15.6     -15.4     -1.07      0.76      0.76     0.011        12
     -15.4     -15.2     -1.43      1.94      0.75     0.024        18
     -15.2     -15.0     -2.28      1.66      0.77     0.022        28
     -15.0     -14.8     -1.09      1.09      0.77     0.022        19
     -14.8     -14.6      0.40      0.80      0.75     0.024        16
     -14.6     -14.4      0.14      1.39      0.77     0.019        16
     -14.4     -14.2     -0.70      1.96      0.77     0.027        22
     -14.2     -14.0     -0.32      1.18      0.78     0.022        25
     -14.0     -13.8      1.25      0.89      0.76     0.019        14
     -13.8     -13.6      1.74      1.03      0.77     0.024        16
     -13.6     -13.4      0.76      1.41      0.78     0.018        20
     -13.4     -13.2      0.97      1.14      0.78     0.030        31
     -13.2     -13.0      1.79      1.03      0.77     0.024        14
     -13.0     -12.8      2.18      1.08      0.78     0.019        16
     -12.8     -12.6      1.43      0.96      0.79     0.017        16
     -12.6     -12.4      1.40      0.70      0.80     0.022        31
     -12.4     -12.2      1.47      0.72      0.79     0.012        10
     -12.2     -12.0      1.70      0.93      0.79     0.018        12
     -12.0     -11.8      1.53      0.79      0.79     0.026        24
     -11.8     -11.6      1.44      0.50      0.81     0.022        31
     -11.6     -11.4      1.16      0.66      0.79     0.011        10
     -11.4     -11.2      1.21      0.58      0.79     0.024        16
     -11.2     -11.0      1.32      0.53      0.80     0.019        16
     -11.0     -10.8      1.47      0.45      0.81     0.025        34
     -10.8     -10.6      1.39      0.45      0.80     0.021        15
     -10.6     -10.4      1.48      0.53      0.79     0.027        18
     -10.4     -10.2      1.58      0.46      0.81     0.024        20
     -10.2     -10.0      1.93      0.45      0.82     0.017        26
     -10.0      -9.8      1.89      0.37      0.82     0.021        19
      -9.8      -9.6      1.88      0.45      0.80     0.024        16
      -9.6      -9.4      1.97      0.48      0.82     0.019        16
      -9.4      -9.2      2.49      0.52      0.82     0.026        26
      -9.2      -9.0      2.29      0.54      0.82     0.028        23
      -9.0      -8.8      2.01      0.59      0.81     0.025        22
      -8.8      -8.6      2.05      0.48      0.82     0.018        16
      -8.6      -8.4      2.40      0.66      0.83     0.026        26
      -8.4      -8.2      2.26      0.66      0.83     0.022        21
      -8.2      -8.0      1.45      0.67      0.81     0.025        22
      -8.0      -7.8      1.40      0.59      0.83     0.024        18
      -7.8      -7.6      1.55      0.66      0.84     0.026        26
      -7.6      -7.4      1.71      0.73      0.84     0.017        19
      -7.4      -7.2      0.51      0.77      0.82     0.025        22
      -7.2      -7.0      0.58      0.68      0.84     0.024        20
      -7.0      -6.8      0.47      0.70      0.84     0.030        30
      -6.8      -6.6      0.58      0.99      0.85     0.022        19
      -6.6      -6.4     -0.10      0.99      0.84     0.018        16
      -6.4      -6.2      0.11      0.79      0.85     0.018        18
      -6.2      -6.0     -0.00      0.84      0.85     0.029        36
      -6.0      -5.8     -0.16      1.21      0.84     0.028        17
      -5.8      -5.6     -0.21      1.26      0.84     0.024        16
      -5.6      -5.4      0.01      1.03      0.85     0.024        20
      -5.4      -5.2      0.10      0.77      0.86     0.024        37
      -5.2      -5.0     -0.17      1.19      0.84     0.025        14
      -5.0      -4.8      0.15      1.18      0.84     0.027        20
      -4.8      -4.6      0.22      0.95      0.86     0.023        22
      -4.6      -4.4      0.32      0.69      0.86     0.030        35
      -4.4      -4.2      0.17      0.72      0.86     0.011        12
      -4.2      -4.0      0.31      0.80      0.86     0.024        16
      -4.0      -3.8      0.26      0.71      0.86     0.026        24
      -3.8      -3.6      0.32      0.44      0.88     0.021        31
      -3.6      -3.4      0.13      0.54      0.85     0.024        16
      -3.4      -3.2      0.02      0.49      0.86     0.029        22
      -3.2      -3.0     -0.06      0.51      0.87     0.026        24
      -3.0      -2.8     -0.13      0.37      0.88     0.021        29
      -2.8      -2.6     -0.33      0.48      0.86     0.024        18
      -2.6      -2.4     -0.45      0.48      0.86     0.027        20
      -2.4      -2.2     -0.59      0.52      0.87     0.032        30
      -2.2      -2.0     -0.75      0.48      0.88     0.024        27
      -2.0      -1.8     -0.75      0.55      0.87     0.024        18
      -1.8      -1.6     -0.90      0.65      0.87     0.026        20
      -1.6      -1.4     -0.94      0.70      0.88     0.033        36
      -1.4      -1.2     -1.04      0.48      0.89     0.018        19
      -1.2      -1.0     -0.97      0.63      0.87     0.027        20
      -1.0      -0.8     -0.96      0.68      0.89     0.024        20
      -0.8      -0.6     -1.05      0.66      0.89     0.029        37
      -0.6      -0.4     -0.89      0.42      0.89     0.011        12
      -0.4      -0.2     -1.01      0.51      0.89     0.024        16
      -0.2       0.0     -1.07      0.57      0.89     0.031        28
       0.0       0.2     -1.06      0.52      0.89     0.032        33
       0.2       0.4     -1.14      0.41      0.88     0.023        20
       0.4       0.6     -1.21      0.42      0.90     0.019        16
       0.6       0.8     -1.27      0.44      0.90     0.029        28
       0.8       1.0     -1.32      0.43      0.90     0.033        31
       1.0       1.2     -1.55      0.41      0.89     0.024        18
       1.2       1.4     -1.68      0.42      0.90     0.026        24
       1.4       1.6     -1.66      0.43      0.91     0.029        39
       1.6       1.8     -1.82      0.35      0.90     0.017        12
       1.8       2.0     -1.87      0.39      0.91     0.016        14
       2.0       2.2     -2.17      0.37      0.90     0.030        28
       2.2       2.4     -1.99      0.41      0.92     0.021        31
       2.4       2.6     -2.30      0.38      0.89     0.023        18
       2.6       2.8     -2.27      0.37      0.91     0.024        20
       2.8       3.0     -2.39      0.35      0.91     0.031        30
       3.0       3.2     -2.30      0.46      0.92     0.024        27
       3.2       3.4     -2.39      0.42      0.90     0.031        20
       3.4       3.6     -2.40      0.41      0.90     0.030        26
       3.6       3.8     -2.27      0.43      0.93     0.024        37
       3.8       4.0     -2.37      0.59      0.90     0.025        14
       4.0       4.2     -2.20      0.55      0.90     0.027        20
       4.2       4.4     -1.97      0.50      0.92     0.025        26
       4.4       4.6     -1.86      0.54      0.92     0.031        35
       4.6       4.8     -1.81      0.69      0.91     0.023        20
       4.8       5.0     -1.39      0.62      0.91     0.031        22
       5.0       5.2     -1.03      0.59      0.93     0.022        28
       5.2       5.4     -1.02      0.54      0.92     0.029        27
       5.4       5.6     -0.69      0.64      0.91     0.030        24
       5.6       5.8     -0.06      0.59      0.93     0.024        22
       5.8       6.0      0.10      0.48      0.93     0.028        39
       6.0       6.2      0.24      0.57      0.91     0.027        18
       6.2       6.4      0.70      0.56      0.92     0.029        22
       6.4       6.6      1.15      0.63      0.92     0.040        34
       6.6       6.8      1.23      0.43      0.93     0.032        33
       6.8       7.0      1.60      0.47      0.92     0.026        20
       7.0       7.2      2.00      0.44      0.93     0.023        22
       7.2       7.4      2.30      0.40      0.94     0.029        39
       7.4       7.6      2.34      0.43      0.92     0.027        20
       7.6       7.8      2.62      0.31      0.93     0.023        20
       7.8       8.0      3.00      0.45      0.94     0.027        24
       8.0       8.2      2.89      0.23      0.94     0.031        37
       8.2       8.4      3.15      0.37      0.93     0.024        16
       8.4       8.6      3.14      0.35      0.93     0.033        30
       8.6       8.8      3.45      0.29      0.96     0.016        33
       8.8       9.0      3.23      0.34      0.92     0.026        18
       9.0       9.2      3.48      0.46      0.94     0.023        22
       9.2       9.4      3.72      0.41      0.95     0.018        20
       9.4       9.6      3.49      0.41      0.94     0.031        37
       9.6       9.8      3.50      0.42      0.93     0.023        16
       9.8      10.0      3.52      0.52      0.93     0.033        26
      10.0      10.2      3.71      0.39      0.96     0.024        39
      10.2      10.4      3.46      0.51      0.92     0.030        20
      10.4      10.6      3.59      0.43      0.94     0.029        24
      10.6      10.8      3.55      0.40      0.93     0.042        32
