# VLA smeared map of saturn, X band, 2.5 - 3.76 cm, 8 - 12 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
      44.2      44.4     15.48      0.78      0.90     0.033        27
      44.4      44.6     15.44      0.65      0.90     0.019        16
      44.6      44.8     15.25      0.77      0.89     0.032        30
      44.8      45.0     15.34      0.50      0.91     0.027        27
      45.0      45.2     15.20      0.71      0.88     0.029        24
      45.2      45.4     15.02      0.55      0.90     0.018        18
      45.4      45.6     15.18      0.54      0.90     0.028        33
      45.6      45.8     15.09      0.59      0.88     0.030        22
      45.8      46.0     14.79      0.81      0.88     0.032        26
      46.0      46.2     15.12      0.78      0.90     0.023        33
      46.2      46.4     14.73      0.97      0.87     0.030        20
      46.4      46.6     14.59      1.31      0.88     0.031        26
      46.6      46.8     14.35      1.21      0.90     0.024        33
      46.8      47.0     13.73      1.78      0.87     0.030        22
      47.0      47.2     13.35      1.85      0.88     0.030        18
      47.2      47.4     12.33      1.93      0.88     0.034        32
      47.4      47.6     11.56      2.03      0.87     0.041        27
      47.6      47.8     10.58      2.24      0.86     0.031        26
      47.8      48.0      9.39      1.66      0.88     0.029        24
      48.0      48.2      8.20      1.53      0.88     0.034        31
      48.2      48.4      7.09      1.51      0.86     0.025        20
      48.4      48.6      5.92      1.22      0.87     0.028        24
      48.6      48.8      4.78      0.78      0.88     0.023        31
      48.8      49.0      3.78      1.05      0.86     0.025        18
      49.0      49.2      2.90      0.91      0.86     0.034        22
      49.2      49.4      2.17      0.52      0.88     0.020        31
      49.4      49.6      1.48      0.75      0.85     0.024        18
      49.6      49.8      0.88      0.59      0.85     0.033        24
      49.8      50.0      0.40      0.43      0.87     0.024        30
      50.0      50.2     -0.02      0.51      0.85     0.034        21
      50.2      50.4     -0.40      0.44      0.85     0.030        22
      50.4      50.6     -0.65      0.35      0.85     0.034        28
      50.6      50.8     -0.90      0.40      0.85     0.034        29
      50.8      51.0     -1.18      0.35      0.84     0.029        22
      51.0      51.2     -1.10      0.19      0.86     0.022        22
      51.2      51.4     -1.17      0.25      0.86     0.024        27
      51.4      51.6     -1.49      0.36      0.83     0.030        20
      51.6      51.8     -1.26      0.19      0.85     0.018        16
      51.8      52.0     -1.13      0.22      0.85     0.028        35
      52.0      52.2     -1.26      0.31      0.83     0.026        16
      52.2      52.4     -1.07      0.28      0.83     0.029        20
      52.4      52.6     -0.85      0.28      0.84     0.034        32
      52.6      52.8     -0.81      0.26      0.84     0.027        21
      52.8      53.0     -0.69      0.31      0.82     0.032        24
      53.0      53.2     -0.50      0.22      0.84     0.030        20
      53.2      53.4     -0.37      0.17      0.84     0.023        27
      53.4      53.6     -0.30      0.23      0.83     0.021        18
      53.6      53.8     -0.22      0.26      0.82     0.036        22
      53.8      54.0     -0.11      0.21      0.83     0.033        35
      54.0      54.2     -0.05      0.19      0.82     0.023        14
      54.2      54.4     -0.01      0.19      0.81     0.030        22
      54.4      54.6      0.07      0.22      0.83     0.033        35
      54.6      54.8     -0.02      0.24      0.80     0.032        20
      54.8      55.0      0.07      0.12      0.82     0.022        18
      55.0      55.2      0.17      0.16      0.82     0.029        22
      55.2      55.4      0.15      0.16      0.82     0.023        23
      55.4      55.6      0.08      0.24      0.80     0.025        16
      55.6      55.8      0.07      0.19      0.80     0.034        26
      55.8      56.0      0.15      0.20      0.82     0.027        27
      56.0      56.2     -0.02      0.27      0.79     0.032        20
      56.2      56.4      0.12      0.12      0.81     0.017        16
      56.4      56.6      0.09      0.22      0.82     0.027        29
      56.6      56.8      0.09      0.08      0.80     0.018        14
      56.8      57.0      0.07      0.15      0.80     0.025        18
      57.0      57.2     -0.04      0.20      0.79     0.034        28
      57.2      57.4      0.03      0.21      0.80     0.028        21
      57.4      57.6     -0.10      0.26      0.77     0.032        20
      57.6      57.8     -0.09      0.18      0.80     0.017        18
      57.8      58.0     -0.18      0.24      0.79     0.035        27
      58.0      58.2     -0.25      0.29      0.76     0.036        20
      58.2      58.4     -0.31      0.28      0.77     0.033        20
      58.4      58.6     -0.44      0.25      0.78     0.034        34
      58.6      58.8     -0.36      0.27      0.78     0.027        15
      58.8      59.0     -0.58      0.27      0.77     0.028        20
      59.0      59.2     -0.69      0.29      0.80     0.010        14
      59.2      59.4     -0.61      0.25      0.78     0.035        25
      59.4      59.6     -0.76      0.15      0.78     0.016        12
      59.6      59.8     -0.86      0.21      0.77     0.023        18
      59.8      60.0     -0.74      0.25      0.78     0.028        31
      60.0      60.2     -0.98      0.16      0.76     0.024        12
      60.2      60.4     -0.87      0.21      0.75     0.029        18
      60.4      60.6     -0.71      0.24      0.77     0.022        20
      60.6      60.8     -0.82      0.27      0.75     0.040        29
      60.8      61.0     -0.77      0.30      0.75     0.030        16
      61.0      61.2     -0.69      0.28      0.76     0.022        18
      61.2      61.4     -0.57      0.27      0.77     0.021        23
      61.4      61.6     -0.61      0.30      0.73     0.029        20
      61.6      61.8     -0.50      0.29      0.74     0.030        16
      61.8      62.0     -0.49      0.26      0.76     0.017        20
      62.0      62.2     -0.25      0.26      0.75     0.030        17
      62.2      62.4     -0.30      0.24      0.73     0.024        18
      62.4      62.6     -0.22      0.32      0.73     0.037        20
      62.6      62.8     -0.02      0.35      0.76     0.016        23
      62.8      63.0     -0.02      0.32      0.74     0.017        10
      63.0      63.2      0.14      0.35      0.72     0.029        20
      63.2      63.4      0.21      0.33      0.74     0.022        18
      63.4      63.6      0.50      0.36      0.73     0.033        25
      63.6      63.8      0.60      0.37      0.73     0.018         8
      63.8      64.0      0.74      0.39      0.72     0.028        20
      64.0      64.2      0.90      0.29      0.73     0.029        27
      64.2      64.4      1.00      0.23      0.71     0.022        14
      64.4      64.6      1.18      0.34      0.71     0.032        14
      64.6      64.8      1.26      0.36      0.72     0.022        20
      64.8      65.0      1.26      0.46      0.71     0.042        25
      65.0      65.2      1.33      0.51      0.69     0.028        16
      65.2      65.4      1.32      0.39      0.72     0.016        12
      65.4      65.6      1.13      0.47      0.72     0.028        25
      65.6      65.8      1.21      0.62      0.69     0.029        16
      65.8      66.0      0.99      0.60      0.68     0.033        16
      66.0      66.2      0.80      0.37      0.71     0.023        14
      66.2      66.4      0.62      0.36      0.71     0.028        23
      66.4      66.6      0.54      0.29      0.70     0.016        12
      66.6      66.8      0.37      0.23      0.69     0.025        12
      66.8      67.0      0.18      0.20      0.69     0.025        20
      67.0      67.2      0.14      0.23      0.68     0.044        23
      67.2      67.4      0.11      0.31      0.64     0.074        20
      67.4      67.6      0.01      0.32      0.68     0.032        14
      67.6      67.8     -0.04      0.24      0.69     0.028        25
      67.8      68.0      0.04      0.30      0.68     0.011         8
      68.0      68.2      0.04      0.34      0.66     0.030        16
      68.2      68.4      0.17      0.35      0.68     0.016        12
      68.4      68.6      0.15      0.30      0.65     0.071        26
      68.6      68.8      0.19      0.29      0.65     0.031        12
      68.8      69.0      0.26      0.20      0.66     0.029        16
      69.0      69.2      0.42      0.31      0.62     0.074        16
      69.2      69.4      0.65      0.24      0.63     0.087        22
      69.4      69.6      0.45      0.26      0.64     0.042        14
      69.6      69.8      0.46      0.32      0.65     0.023        12
      69.8      70.0      0.47      0.30      0.64     0.038        18
      70.0      70.2      0.62      0.29      0.66     0.022        17
      70.2      70.4      0.57      0.34      0.65     0.016        10
      70.4      70.6      0.46      0.35      0.63     0.038        16
      70.6      70.8      0.40      0.32      0.65     0.022        18
      70.8      71.0      0.48      0.26      0.64     0.038        17
      71.0      71.2      0.49      0.28      0.64     0.017        10
      71.2      71.4      0.33      0.16      0.63     0.029        12
      71.4      71.6      0.25      0.20      0.65     0.015        14
      71.6      71.8      0.42      0.28      0.64     0.022        13
      71.8      72.0      0.38      0.21      0.59     0.059        14
      72.0      72.2      0.24      0.19      0.63     0.017        10
      72.2      72.4      0.23      0.18      0.63     0.023        16
      72.4      72.6      0.42      0.24      0.59     0.055        17
      72.6      72.8      0.32      0.23      0.61     0.024        10
      72.8      73.0      0.24      0.20      0.62     0.024        12
      73.0      73.2      0.55      0.23      0.55     0.063         7
      73.2      73.4      0.42      0.20      0.60     0.030        11
      73.4      73.6      0.48      0.29      0.57     0.062        10
      73.6      73.8      0.18      0.23      0.61     0.016        12
      73.8      74.0      0.18      0.27      0.61     0.035        14
      74.0      74.2      0.30      0.17      0.60     0.031        13
      74.2      74.4      0.31      0.21      0.55     0.059         8
      74.4      74.6      0.14      0.19      0.57     0.054        16
      74.6      74.8      0.01      0.25      0.59     0.036        11
      74.8      75.0      0.02      0.18      0.57     0.054        18
      75.0      75.2      0.16      0.26      0.57     0.033         7
      75.2      75.4      0.15      0.30      0.58     0.024        10
      75.4      75.6      0.10      0.31      0.57     0.031        14
      75.6      75.8     -0.10      0.29      0.60     0.015        15
      75.8      76.0      0.20      0.38      0.56     0.026         6
      76.0      76.2      0.20      0.40      0.57     0.018         8
      76.2      76.4      0.20      0.30      0.58     0.017        10
      76.4      76.6      0.04      0.37      0.58     0.023        15
      76.6      76.8      0.17      0.27      0.55     0.029         7
      76.8      77.0      0.26      0.27      0.57     0.010         6
      77.0      77.2      0.35      0.21      0.55     0.029         9
      77.2      77.4      0.31      0.34      0.54     0.055        11
      77.4      77.6      0.18      0.33      0.57     0.015        11
      77.6      77.8      0.60      0.32      0.51     0.044         8
      77.8      78.0      0.39      0.26      0.55     0.027         8
      78.0      78.2      0.43      0.38      0.52     0.054        10
      78.2      78.4      0.24      0.41      0.55     0.023        11
      78.4      78.6      0.45      0.29      0.54     0.010         6
      78.6      78.8      0.46      0.43      0.53     0.017         6
      78.8      79.0      0.31      0.45      0.54     0.017         8
      79.0      79.2      0.29      0.47      0.54     0.024        14
      79.2      79.4      0.25      0.42      0.55     0.010         5
      79.4      79.6      0.45      0.50      0.53     0.010         6
      79.6      79.8      0.04      0.20      0.48     0.041         6
      79.8      80.0      0.03      0.16      0.51     0.036         8
      80.0      80.2      0.17      0.19      0.52     0.038        13
      80.2      80.4      0.40      0.61      0.49     0.034         4
      80.4      80.6      0.47      0.56      0.50     0.038         7
      80.6      80.8      0.79      0.81      0.51     0.017         6
      80.8      81.0      0.50      0.52      0.52     0.010         6
      81.0      81.2      0.67      0.42      0.52     0.008         9
      81.2      81.4      1.09      0.82      0.50     0.011         4
      81.4      81.8      1.20      0.73      0.50     0.016        12
      81.8      82.0      1.08      0.27      0.49     0.031         8
      82.0      82.2      1.08      0.22      0.51     0.007         6
      82.2      82.4      1.59      0.46      0.46     0.031         6
      82.4      82.8      1.70      0.38      0.48     0.023         7
      82.8      83.0      1.85      0.11      0.50     0.000         4
      83.0      83.2      1.58      0.25      0.49     0.009         7
      83.2      83.4      1.89      0.21      0.47     0.010         4
      83.4      83.8      1.96      0.13      0.47     0.010         6
      83.8      84.0      2.03      0.17      0.48     0.010         6
      84.0      84.2      1.90      0.31      0.47     0.022         7
      84.2      84.8      1.95      0.11      0.45     0.015         7
      84.8      85.0      1.80      0.14      0.47     0.000         4
      85.0      85.2      1.78      0.22      0.46     0.010         7
      85.2      85.6      1.58      0.08      0.45     0.000         4
      85.6      86.0      1.44      0.10      0.43     0.017         4
      86.0      86.2      1.43      0.12      0.45     0.000         4
      86.2      86.6      1.48      0.22      0.44     0.010         5
      86.6      87.2      1.23      0.11      0.43     0.000         4
      87.2      87.4      1.21      0.04      0.43     0.000         4
      87.4      88.4      1.03      0.10      0.42     0.009         4
