# VLA smeared map of saturn, K band, 1.15 - 1.67 cm, 18 - 26 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
       1.8       2.2      2.44      0.34      0.89     0.029        16
       2.2       2.4      2.55      0.17      0.92     0.015        13
       2.4       3.0      3.08      0.41      0.89     0.018        16
       3.0       3.4      3.48      0.51      0.89     0.031        16
       3.4       3.6      3.38      0.26      0.92     0.015        10
       3.6       3.8      3.60      0.15      0.93     0.015         9
       3.8       4.2      4.03      0.26      0.89     0.025        11
       4.2       4.6      4.23      0.28      0.90     0.025        12
       4.6       5.0      4.27      0.23      0.93     0.021        23
       5.0       5.4      4.38      0.09      0.90     0.017         8
       5.4       5.8      4.48      0.22      0.90     0.031        10
       5.8       6.2      4.32      0.19      0.93     0.019        18
       6.2       6.4      4.37      0.25      0.94     0.023        11
       6.4       6.8      4.21      0.20      0.90     0.029        12
       6.8       7.2      4.05      0.18      0.92     0.019        11
       7.2       7.4      3.71      0.13      0.93     0.027         8
       7.4       7.6      3.75      0.29      0.94     0.022        16
       7.6       8.2      3.60      0.21      0.92     0.019        16
       8.2       8.4      3.37      0.17      0.92     0.032         8
       8.4       8.8      3.06      0.28      0.94     0.027        18
       8.8       9.0      3.15      0.21      0.96     0.012         8
       9.0       9.4      3.03      0.24      0.91     0.028        12
       9.4       9.8      2.80      0.26      0.94     0.019        12
       9.8      10.0      2.52      0.28      0.92     0.054        10
      10.0      10.2      2.54      0.29      0.95     0.034        15
      10.2      10.6      2.45      0.23      0.92     0.025        11
      10.6      11.0      2.25      0.25      0.93     0.028        12
      11.0      11.2      2.04      0.26      0.95     0.017         8
      11.2      11.4      1.90      0.19      0.96     0.026        17
      11.4      11.8      1.92      0.22      0.92     0.029        12
      11.8      12.2      1.65      0.25      0.95     0.015        10
      12.2      12.6      1.44      0.21      0.95     0.031        20
      12.6      12.8      1.31      0.19      0.96     0.028        11
      12.8      13.2      1.36      0.20      0.94     0.016         8
      13.2      13.4      1.15      0.15      0.93     0.031         8
      13.4      13.8      1.11      0.22      0.96     0.019        18
      13.8      14.0      0.89      0.23      0.97     0.014        11
      14.0      14.4      0.98      0.22      0.94     0.020        10
      14.4      14.8      0.82      0.11      0.96     0.019        12
      14.8      15.0      0.86      0.18      0.96     0.019        10
      15.0      15.2      0.67      0.23      0.97     0.027        15
      15.2      15.6      0.67      0.25      0.94     0.025        11
      15.6      16.0      0.58      0.19      0.95     0.028        14
      16.0      16.2      0.61      0.12      0.97     0.018         8
      16.2      16.4      0.57      0.20      0.98     0.017        15
      16.4      16.8      0.34      0.21      0.93     0.033        14
      16.8      17.2      0.41      0.24      0.96     0.024        13
      17.2      17.6      0.37      0.18      0.98     0.022        24
      17.6      18.0      0.19      0.12      0.94     0.032        10
      18.0      18.4      0.17      0.22      0.95     0.027        13
      18.4      18.8      0.23      0.14      0.97     0.035        24
      18.8      19.2     -0.07      0.16      0.95     0.020        10
      19.2      19.6     -0.10      0.21      0.95     0.031        14
      19.6      19.8      0.12      0.14      0.98     0.017         8
      19.8      20.0     -0.02      0.25      0.97     0.044        18
      20.0      20.4     -0.27      0.19      0.94     0.029        12
      20.4      20.8     -0.24      0.23      0.95     0.032        16
      20.8      21.2     -0.02      0.17      0.98     0.018        23
      21.2      21.6     -0.36      0.26      0.95     0.021        10
      21.6      22.0     -0.26      0.23      0.97     0.020        12
      22.0      22.2     -0.15      0.31      0.97     0.028        12
      22.2      22.4     -0.06      0.33      0.97     0.046        16
      22.4      22.8     -0.19      0.38      0.94     0.039        10
      22.8      23.2     -0.15      0.38      0.95     0.031        18
      23.2      23.6      0.09      0.37      0.97     0.037        27
      23.6      24.0     -0.16      0.45      0.94     0.030        13
      24.0      24.4     -0.01      0.34      0.97     0.017        12
      24.4      24.6      0.18      0.32      0.98     0.016         8
      24.6      24.8      0.36      0.28      0.99     0.014        13
      24.8      25.2     -0.09      0.41      0.96     0.018        10
      25.2      25.6      0.02      0.32      0.96     0.034        16
      25.6      25.8      0.30      0.27      0.99     0.016         9
      25.8      26.0      0.30      0.38      0.98     0.027        15
      26.0      26.4     -0.06      0.31      0.94     0.033        14
      26.4      26.6      0.09      0.26      0.95     0.039         8
      26.6      27.0      0.33      0.29      0.98     0.018        16
      27.0      27.2      0.41      0.35      0.98     0.028        13
      27.2      27.6      0.12      0.29      0.93     0.052        10
      27.6      27.8      0.36      0.29      0.95     0.040         8
      27.8      28.2      0.57      0.36      0.97     0.029        24
      28.2      28.6      0.79      0.35      0.97     0.026        15
      28.6      29.0      0.89      0.43      0.95     0.035        13
      29.0      29.2      1.12      0.45      0.96     0.039         9
      29.2      29.4      1.04      0.40      0.99     0.013        15
      29.4      29.8      1.43      0.53      0.95     0.018        10
      29.8      30.2      1.58      0.52      0.97     0.018        12
      30.2      30.4      1.51      0.53      0.98     0.017         8
      30.4      30.6      1.38      0.48      0.98     0.034        14
      30.6      31.0      1.87      0.53      0.94     0.028        12
      31.0      31.4      1.92      0.45      0.95     0.032        17
      31.4      31.6      1.73      0.47      0.97     0.019        10
