# VLA smeared map of saturn, C band, 7.08 - 7.53 cm, 4. - 4.25 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
      63.0      64.0     11.69      2.39      0.69     0.026        17
      64.0      65.0     10.04      3.20      0.64     0.031         7
      65.0      66.0     10.35      3.11      0.67     0.022        15
      66.0      67.0      8.73      1.19      0.63     0.005         6
      67.0      68.0     10.26      2.50      0.65     0.005        13
      68.0      69.0      6.94      0.49      0.61     0.003         4
      69.0      70.0      8.34      2.33      0.61     0.027        17
      70.0      72.0      7.22      0.98      0.59     0.009        14
      72.0      73.0      7.39      1.70      0.57     0.028         7
      73.0      74.0      7.22      0.42      0.56     0.004         6
      74.0      75.0      6.48      1.03      0.55     0.025         9
      75.0      77.0      6.73      0.99      0.52     0.020        15
      77.0      79.0      7.65      1.64      0.49     0.006         9
      79.0      80.0      6.86      2.20      0.48     0.029         6
      80.0      82.0      5.33      0.98      0.42     0.045        10
      82.0      84.0      4.67      0.76      0.38     0.027         4
      84.0      86.0      3.55      0.33      0.41     0.001         5
