# VLA smeared map of saturn, Q band, 0.62 - 0.75 cm, 40 - 48.4 GHz
#    LATG1     LATG2        TB       sTB        MU       sMU         N
     -33.9     -33.8      0.21      0.45      0.50     0.011         4
     -33.8     -33.6      0.17      0.34      0.52     0.002         6
     -33.6     -33.5     -1.94      1.47      0.48     0.029         4
     -33.5     -33.4      0.25      0.55      0.52     0.009         8
     -33.4     -33.3      0.22      1.19      0.52     0.014         8
     -33.3     -33.2      1.70      1.11      0.53     0.008        11
     -33.2     -33.0     -0.69      0.72      0.51     0.010         8
     -33.0     -32.8     -0.12      0.15      0.52     0.001         4
     -32.8     -32.7     -0.36      0.53      0.52     0.009         4
     -32.7     -32.6     -0.14      0.07      0.53     0.001         4
     -32.6     -32.5     -0.51      0.49      0.52     0.015         5
     -32.5     -32.4     -0.42      0.38      0.53     0.010         6
     -32.4     -32.3     -1.93      1.59      0.51     0.029         6
     -32.3     -32.2     -0.15      0.20      0.54     0.007         7
     -32.2     -32.1     -0.24      1.82      0.53     0.022        17
     -32.1     -32.0     -1.62      0.68      0.52     0.010         4
     -32.0     -31.8     -1.06      0.27      0.52     0.023         7
     -31.8     -31.7     -1.02      0.57      0.53     0.010         4
     -31.7     -31.5     -0.67      0.57      0.54     0.009         7
     -31.5     -31.4     -0.98      0.65      0.53     0.023         5
     -31.4     -31.3     -1.13      0.51      0.55     0.009         6
     -31.3     -31.2     -0.76      0.08      0.56     0.001         4
     -31.2     -31.1     -1.15      0.58      0.56     0.008         8
     -31.1     -31.0     -0.89      1.46      0.56     0.014        15
     -31.0     -30.9     -2.80      0.85      0.54     0.010         4
     -30.9     -30.7     -2.21      0.25      0.55     0.001         4
     -30.7     -30.5     -2.00      0.51      0.55     0.010         8
     -30.5     -30.4     -1.27      0.15      0.56     0.001         4
     -30.4     -30.3     -2.12      0.85      0.56     0.010         4
     -30.3     -30.2     -2.85      1.76      0.54     0.030         6
     -30.2     -30.1     -2.37      0.81      0.57     0.014         8
     -30.1     -29.9     -2.39      1.54      0.56     0.023        25
     -29.9     -29.8     -3.69      1.01      0.55     0.010         4
     -29.8     -29.6     -3.78      1.16      0.55     0.022         7
     -29.6     -29.5     -2.57      1.28      0.53     0.038         4
     -29.5     -29.4     -2.71      0.38      0.56     0.021         6
     -29.4     -29.3     -3.65      0.96      0.56     0.017         6
     -29.3     -29.2     -2.73      0.68      0.57     0.023         6
     -29.2     -29.1     -3.02      0.74      0.58     0.010         6
     -29.1     -29.0     -3.26      0.62      0.58     0.009         8
     -29.0     -28.9     -2.60      1.03      0.59     0.014        17
     -28.9     -28.7     -3.77      0.78      0.57     0.009         6
     -28.7     -28.6     -2.97      0.54      0.58     0.001         4
     -28.6     -28.4     -3.03      0.49      0.58     0.010         6
     -28.4     -28.3     -3.17      0.40      0.59     0.010         6
     -28.3     -28.1     -2.66      0.95      0.58     0.024        15
     -28.1     -28.0     -2.90      0.59      0.59     0.015         6
     -28.0     -27.9     -2.38      0.76      0.60     0.008        12
     -27.9     -27.8     -2.83      0.70      0.60     0.014         8
     -27.8     -27.7     -2.23      0.84      0.58     0.017         4
     -27.7     -27.5     -1.91      0.55      0.59     0.016        10
     -27.5     -27.4     -1.54      1.11      0.58     0.024         5
     -27.4     -27.3     -1.85      0.48      0.60     0.010         4
     -27.3     -27.2     -1.22      1.18      0.58     0.030         8
     -27.2     -27.1     -1.90      0.46      0.60     0.015         6
     -27.1     -27.0     -1.40      0.40      0.61     0.007         7
     -27.0     -26.9     -1.31      0.56      0.61     0.013        11
     -26.9     -26.8     -1.66      0.43      0.62     0.008         9
