# IDX        LATG        LATC        LONW          MU          TB
  106      -48.05      -42.15      184.34      0.2926      136.41
  107      -47.24      -41.34      181.54      0.3201      142.37
  108      -46.55      -40.66      178.95      0.3438      147.29
  109      -45.95      -40.07      176.51      0.3645      151.09
  110      -45.44      -39.56      174.20      0.3825      154.18
  111      -44.99      -39.12      171.99      0.3984      157.30
  112      -44.60      -38.74      169.86      0.4122      160.88
  113      -44.26      -38.41      167.78      0.4243      164.68
  114      -43.97      -38.13      165.77      0.4346      167.99
  115      -43.73      -37.90      163.79      0.4434      170.23
  116      -43.53      -37.70      161.85      0.4508      171.35
  117      -43.36      -37.54      159.93      0.4567      171.75
  118      -43.24      -37.42      158.04      0.4613      171.95
  119      -43.15      -37.33      156.16      0.4646      172.30
  120      -43.09      -37.28      154.29      0.4666      172.81
  121      -43.07      -37.26      152.43      0.4673      173.33
  122      -43.09      -37.27      150.56      0.4668      173.65
  123      -43.14      -37.32      148.69      0.4650      173.61
  124      -43.22      -37.40      146.82      0.4619      173.02
  125      -43.34      -37.52      144.92      0.4575      171.80
  126      -43.50      -37.67      143.01      0.4517      170.17
  127      -43.70      -37.87      141.07      0.4446      168.65
  128      -43.94      -38.10      139.10      0.4360      167.78
  129      -44.22      -38.37      137.09      0.4258      167.80
  130      -44.55      -38.69      135.03      0.4140      168.52
  131      -44.93      -39.07      132.90      0.4004      169.42
  132      -45.37      -39.50      130.70      0.3849      169.90
  133      -45.88      -40.00      128.41      0.3671      169.35
  134      -46.46      -40.57      125.99      0.3469      167.31
  135      -47.13      -41.24      123.43      0.3236      163.50
  136      -47.93      -42.03      120.65      0.2967      157.81
  137      -48.87      -42.98      117.60      0.2651      149.98
  138      -50.03      -44.15      114.11      0.2268      139.18
  139      -51.56      -45.71      109.87      0.1779      124.14
  140      -53.95      -48.18      103.78      0.1043      104.09
  141      -52.71      -46.89      206.56      0.0745       97.77
  142      -49.70      -43.81      199.04      0.1698      111.91
  143      -47.99      -42.10      194.43      0.2263      124.94
  144      -46.72      -40.83      190.75      0.2695      136.06
  145      -45.70      -39.82      187.59      0.3050      144.88
  146      -44.84      -38.98      184.74      0.3352      151.55
  147      -44.11      -38.26      182.13      0.3614      156.54
  148      -43.47      -37.64      179.69      0.3843      160.32
  149      -42.91      -37.10      177.38      0.4046      163.16
  150      -42.42      -36.63      175.17      0.4225      165.16
  151      -41.98      -36.21      173.05      0.4384      166.39
  152      -41.60      -35.85      171.00      0.4525      167.23
  153      -41.27      -35.53      169.00      0.4649      168.22
  154      -40.98      -35.25      167.06      0.4757      169.72
  155      -40.73      -35.01      165.15      0.4851      171.62
  156      -40.52      -34.81      163.28      0.4931      173.47
  157      -40.34      -34.64      161.43      0.4998      174.84
  158      -40.19      -34.51      159.60      0.5053      175.59
  159      -40.08      -34.40      157.79      0.5095      175.88
  160      -40.00      -34.33      155.99      0.5125      176.02
  161      -39.95      -34.28      154.20      0.5143      176.24
  162      -39.94      -34.26      152.42      0.5150      176.58
  163      -39.95      -34.28      150.63      0.5145      176.93
  164      -39.99      -34.32      148.85      0.5128      177.08
  165      -40.07      -34.39      147.05      0.5100      176.88
  166      -40.18      -34.49      145.24      0.5059      176.24
  167      -40.32      -34.62      143.42      0.5007      175.16
  168      -40.49      -34.79      141.57      0.4942      173.82
  169      -40.70      -34.98      139.70      0.4863      172.55
  170      -40.94      -35.22      137.80      0.4771      171.69
  171      -41.23      -35.49      135.86      0.4665      171.47
  172      -41.55      -35.80      133.87      0.4543      171.83
  173      -41.93      -36.16      131.83      0.4405      172.46
  174      -42.35      -36.57      129.72      0.4249      172.98
  175      -42.84      -37.03      127.53      0.4072      172.95
  176      -43.38      -37.56      125.23      0.3873      172.06
  177      -44.01      -38.17      122.81      0.3647      170.14
  178      -44.73      -38.87      120.22      0.3391      167.07
  179      -45.57      -39.69      117.42      0.3095      162.44
  180      -46.57      -40.68      114.30      0.2749      155.16
  181      -47.79      -41.90      110.72      0.2330      143.37
  182      -49.42      -43.53      106.29      0.1789      125.45
  183      -52.07      -46.24       99.56      0.0941      101.44
  184      -48.20      -42.30      203.48      0.1513      105.47
  185      -46.22      -40.34      198.29      0.2184      119.13
  186      -44.82      -38.95      194.35      0.2676      131.53
  187      -43.70      -37.87      191.03      0.3073      142.47
  188      -42.77      -36.97      188.09      0.3409      151.67
  189      -41.97      -36.20      185.41      0.3701      158.91
  190      -41.28      -35.54      182.92      0.3957      164.23
  191      -40.67      -34.96      180.58      0.4184      167.93
  192      -40.13      -34.45      178.36      0.4386      170.43
  193      -39.65      -33.99      176.22      0.4567      172.11
  194      -39.23      -33.59      174.17      0.4729      173.20
  195      -38.85      -33.24      172.18      0.4873      173.79
  196      -38.51      -32.92      170.24      0.5002      173.98
  197      -38.22      -32.65      168.35      0.5115      173.98
  198      -37.96      -32.41      166.49      0.5215      174.10
  199      -37.73      -32.20      164.67      0.5302      174.57
  200      -37.54      -32.02      162.87      0.5376      175.39
  201      -37.38      -31.87      161.10      0.5438      176.33
  202      -37.25      -31.75      159.34      0.5489      177.14
  203      -37.15      -31.66      157.60      0.5528      177.67
  204      -37.08      -31.59      155.86      0.5556      177.91
  205      -37.04      -31.55      154.14      0.5573      177.99
  206      -37.02      -31.53      152.42      0.5579      178.02
  207      -37.03      -31.55      150.69      0.5574      178.09
  208      -37.07      -31.58      148.97      0.5559      178.21
  209      -37.14      -31.65      147.23      0.5532      178.27
  210      -37.24      -31.73      145.49      0.5495      178.16
  211      -37.36      -31.85      143.74      0.5446      177.80
  212      -37.52      -32.00      141.97      0.5385      177.14
  213      -37.71      -32.17      140.17      0.5313      176.25
  214      -37.92      -32.37      138.35      0.5228      175.26
  215      -38.18      -32.61      136.50      0.5130      174.38
  216      -38.47      -32.88      134.62      0.5018      173.84
  217      -38.80      -33.19      132.69      0.4892      173.76
  218      -39.17      -33.54      130.70      0.4750      174.07
  219      -39.59      -33.93      128.66      0.4591      174.53
  220      -40.06      -34.38      126.54      0.4413      174.81
  221      -40.59      -34.88      124.33      0.4214      174.64
  222      -41.19      -35.45      122.00      0.3990      173.86
  223      -41.87      -36.10      119.54      0.3739      172.32
  224      -42.65      -36.85      116.89      0.3453      169.64
  225      -43.56      -37.73      113.99      0.3123      164.74
  226      -44.64      -38.79      110.73      0.2736      155.75
  227      -46.00      -40.12      106.91      0.2261      140.62
  228      -47.86      -41.97      101.97      0.1626      118.50
  229      -51.94      -46.10       91.90      0.0306       91.10
  230      -47.56      -41.66      209.47      0.1046       95.17
  231      -44.92      -39.06      202.77      0.1952      110.58
  232      -43.28      -37.46      198.33      0.2538      124.87
  233      -42.02      -36.24      194.74      0.2995      137.27
  234      -40.98      -35.26      191.62      0.3376      147.48
  235      -40.11      -34.42      188.83      0.3704      155.66
  236      -39.35      -33.71      186.25      0.3991      162.07
  237      -38.68      -33.08      183.85      0.4246      167.00
  238      -38.08      -32.52      181.58      0.4474      170.62
  239      -37.55      -32.03      179.41      0.4678      173.16
  240      -37.08      -31.59      177.33      0.4862      174.86
  241      -36.66      -31.20      175.33      0.5028      175.95
  242      -36.28      -30.84      173.38      0.5176      176.63
  243      -35.94      -30.53      171.49      0.5310      176.99
  244      -35.63      -30.25      169.64      0.5429      177.06
  245      -35.37      -30.01      167.82      0.5535      176.90
  246      -35.13      -29.79      166.04      0.5629      176.62
  247      -34.93      -29.61      164.28      0.5710      176.42
  248      -34.75      -29.45      162.55      0.5779      176.47
  249      -34.61      -29.31      160.83      0.5838      176.84
  250      -34.49      -29.20      159.13      0.5885      177.43
  251      -34.40      -29.12      157.44      0.5922      178.03
  252      -34.33      -29.06      155.76      0.5949      178.48
  253      -34.29      -29.02      154.08      0.5965      178.68
  254      -34.27      -29.01      152.41      0.5970      178.66
  255      -34.29      -29.02      150.74      0.5966      178.48
  256      -34.32      -29.05      149.07      0.5951      178.30
  257      -34.38      -29.11      147.39      0.5926      178.21
  258      -34.47      -29.19      145.70      0.5891      178.24
  259      -34.59      -29.29      144.00      0.5845      178.32
  260      -34.73      -29.43      142.28      0.5788      178.32
  261      -34.90      -29.58      140.55      0.5720      178.12
  262      -35.10      -29.76      138.80      0.5641      177.66
  263      -35.33      -29.98      137.02      0.5549      176.94
  264      -35.59      -30.22      135.21      0.5445      176.10
  265      -35.89      -30.49      133.36      0.5328      175.39
  266      -36.23      -30.80      131.48      0.5196      175.01
  267      -36.60      -31.14      129.54      0.5049      175.04
  268      -37.02      -31.53      127.54      0.4886      175.36
  269      -37.48      -31.96      125.47      0.4705      175.70
  270      -38.01      -32.45      123.32      0.4504      175.81
  271      -38.59      -33.00      121.06      0.4280      175.50
  272      -39.25      -33.61      118.68      0.4029      174.69
  273      -39.99      -34.32      116.13      0.3746      173.03
  274      -40.85      -35.13      113.37      0.3425      169.69
  275      -41.86      -36.09      110.31      0.3053      163.00
  276      -43.08      -37.27      106.81      0.2608      150.83
  277      -44.66      -38.80      102.52      0.2046      131.61
  278      -47.06      -41.16       96.37      0.1217      105.86
  279      -44.27      -38.43      208.37      0.1496      102.50
  280      -42.15      -36.37      202.86      0.2259      116.89
  281      -40.66      -34.95      198.80      0.2807      130.04
  282      -39.48      -33.83      195.41      0.3248      141.65
