# IDX        LATG        LATC        LONW          MU          TB
  122      -53.70      -47.92      331.36      0.2213        3.29
  123      -53.88      -48.11      330.42      0.2166        3.10
  124      -54.08      -48.32      329.46      0.2115        3.05
  125      -54.30      -48.55      328.48      0.2059        3.10
  126      -54.55      -48.81      327.49      0.1996        2.99
  127      -54.83      -49.10      326.46      0.1927        2.63
  128      -55.13      -49.42      325.41      0.1851        2.24
  129      -55.47      -49.78      324.32      0.1766        2.11
  130      -55.85      -50.19      323.19      0.1673        2.27
  131      -56.28      -50.64      322.00      0.1568        2.46
  132      -56.77      -51.16      320.75      0.1451        2.43
  133      -57.34      -51.77      319.41      0.1316        2.20
  134      -58.01      -52.48      317.94      0.1160        1.99
  135      -58.83      -53.37      316.29      0.0971        1.97
  136      -59.94      -54.57      314.31      0.0724        2.14
  137      -61.91      -56.74      311.28      0.0302        2.38
  138      -61.77      -56.58       16.02      0.0121        4.41
  139      -59.01      -53.56       11.82      0.0718        4.84
  140      -57.77      -52.23        9.60      0.1002        5.23
  141      -56.86      -51.26        7.82      0.1216        5.31
  142      -56.13      -50.48        6.27      0.1392        5.21
  143      -55.51      -49.82        4.87      0.1542        5.18
  144      -54.98      -49.26        3.56      0.1675        5.26
  145      -54.50      -48.76        2.34      0.1793        5.14
  146      -54.08      -48.32        1.18      0.1900        4.58
  147      -53.70      -47.93        0.06      0.1996        3.73
  148      -53.36      -47.57      358.99      0.2085        3.02
  149      -53.05      -47.25      357.96      0.2165        2.69
  150      -52.77      -46.95      356.95      0.2239        2.61
  151      -52.51      -46.69      355.97      0.2307        2.46
  152      -52.27      -46.44      355.01      0.2370        2.13
  153      -52.05      -46.22      354.07      0.2427        1.77
  154      -51.86      -46.02      353.14      0.2479        1.66
  155      -51.68      -45.83      352.23      0.2527        1.86
  156      -51.52      -45.67      351.33      0.2570        2.16
  157      -51.37      -45.52      350.45      0.2610        2.30
  158      -51.24      -45.38      349.57      0.2645        2.24
  159      -51.12      -45.26      348.71      0.2677        2.11
  160      -51.02      -45.15      347.85      0.2705        2.08
  161      -50.93      -45.06      347.00      0.2730        2.09
  162      -50.85      -44.98      346.15      0.2751        1.99
  163      -50.78      -44.92      345.31      0.2768        1.75
  164      -50.73      -44.86      344.47      0.2783        1.49
  165      -50.69      -44.82      343.64      0.2794        1.29
  166      -50.66      -44.79      342.80      0.2802        1.13
  167      -50.64      -44.77      341.97      0.2807        0.97
  168      -50.64      -44.77      341.14      0.2808        0.88
  169      -50.64      -44.77      340.31      0.2807        0.93
  170      -50.66      -44.79      339.48      0.2802        1.13
  171      -50.69      -44.82      338.65      0.2794        1.33
  172      -50.73      -44.86      337.81      0.2783        1.40
  173      -50.78      -44.92      336.97      0.2768        1.40
  174      -50.85      -44.98      336.13      0.2751        1.53
  175      -50.93      -45.06      335.28      0.2730        1.89
  176      -51.02      -45.15      334.43      0.2705        2.29
  177      -51.12      -45.26      333.57      0.2677        2.46
  178      -51.24      -45.38      332.71      0.2645        2.36
  179      -51.37      -45.52      331.83      0.2610        2.18
  180      -51.52      -45.67      330.95      0.2570        2.13
  181      -51.68      -45.83      330.05      0.2527        2.15
  182      -51.86      -46.02      329.14      0.2479        2.05
  183      -52.05      -46.22      328.22      0.2427        1.77
  184      -52.27      -46.44      327.28      0.2370        1.52
  185      -52.51      -46.69      326.32      0.2307        1.58
  186      -52.77      -46.95      325.33      0.2239        1.92
  187      -53.05      -47.25      324.33      0.2165        2.29
  188      -53.36      -47.57      323.29      0.2085        2.43
  189      -53.70      -47.93      322.22      0.1996        2.36
  190      -54.08      -48.32      321.10      0.1900        2.30
  191      -54.50      -48.76      319.94      0.1793        2.43
  192      -54.98      -49.26      318.72      0.1675        2.76
  193      -55.51      -49.82      317.42      0.1542        3.17
  194      -56.13      -50.48      316.01      0.1392        3.56
  195      -56.86      -51.26      314.46      0.1216        3.85
  196      -57.77      -52.23      312.68      0.1002        3.99
  197      -59.01      -53.56      310.46      0.0718        4.01
  198      -61.77      -56.58      306.26      0.0121        4.01
  199      -59.20      -53.77       16.84      0.0463        5.69
  200      -57.39      -51.82       13.78      0.0878        5.46
  201      -56.26      -50.62       11.67      0.1146        5.39
  202      -55.39      -49.70        9.92      0.1357        5.61
  203      -54.68      -48.95        8.38      0.1535        5.84
  204      -54.07      -48.31        6.98      0.1689        5.78
  205      -53.53      -47.75        5.68      0.1826        5.46
  206      -53.05      -47.25        4.46      0.1949        5.14
  207      -52.62      -46.81        3.30      0.2061        4.93
  208      -52.23      -46.41        2.19      0.2164        4.62
  209      -51.88      -46.04        1.12      0.2257        3.94
  210      -51.56      -45.71        0.09      0.2344        2.95
  211      -51.26      -45.40      359.09      0.2424        1.98
  212      -50.98      -45.12      358.11      0.2498        1.31
  213      -50.73      -44.86      357.16      0.2566        0.91
  214      -50.50      -44.63      356.22      0.2630        0.58
  215      -50.29      -44.41      355.31      0.2688        0.22
  216      -50.09      -44.21      354.41      0.2742       -0.05
  217      -49.91      -44.02      353.52      0.2792       -0.08
  218      -49.74      -43.86      352.65      0.2838        0.11
  219      -49.59      -43.70      351.78      0.2881        0.34
  220      -49.45      -43.56      350.93      0.2919        0.42
  221      -49.32      -43.44      350.09      0.2954        0.34
  222      -49.21      -43.32      349.25      0.2986        0.24
  223      -49.11      -43.22      348.42      0.3014        0.22
  224      -49.02      -43.13      347.60      0.3040        0.25
  225      -48.94      -43.05      346.78      0.3062        0.22
  226      -48.87      -42.98      345.97      0.3081        0.08
  227      -48.82      -42.92      345.16      0.3097       -0.08
  228      -48.77      -42.88      344.35      0.3110       -0.24
  229      -48.74      -42.84      343.55      0.3120       -0.39
  230      -48.71      -42.82      342.74      0.3127       -0.56
  231      -48.70      -42.80      341.94      0.3131       -0.68
  232      -48.69      -42.80      341.14      0.3133       -0.68
  233      -48.70      -42.80      340.34      0.3131       -0.59
  234      -48.71      -42.82      339.54      0.3127       -0.48
  235      -48.74      -42.84      338.74      0.3120       -0.41
  236      -48.77      -42.88      337.93      0.3110       -0.31
  237      -48.82      -42.92      337.13      0.3097       -0.07
  238      -48.87      -42.98      336.32      0.3081        0.29
  239      -48.94      -43.05      335.50      0.3062        0.61
  240      -49.02      -43.13      334.68      0.3040        0.70
  241      -49.11      -43.22      333.86      0.3014        0.58
  242      -49.21      -43.32      333.03      0.2986        0.43
  243      -49.32      -43.44      332.19      0.2954        0.38
  244      -49.45      -43.56      331.35      0.2919        0.37
  245      -49.59      -43.70      330.50      0.2881        0.27
  246      -49.74      -43.86      329.64      0.2838        0.09
  247      -49.91      -44.02      328.76      0.2792        0.03
  248      -50.09      -44.21      327.88      0.2742        0.27
  249      -50.29      -44.41      326.98      0.2688        0.71
  250      -50.50      -44.63      326.06      0.2630        1.13
  251      -50.73      -44.86      325.13      0.2566        1.36
  252      -50.98      -45.12      324.17      0.2498        1.46
  253      -51.26      -45.40      323.20      0.2424        1.61
  254      -51.56      -45.71      322.19      0.2344        1.94
  255      -51.88      -46.04      321.16      0.2257        2.43
  256      -52.23      -46.41      320.09      0.2164        2.98
  257      -52.62      -46.81      318.98      0.2061        3.50
  258      -53.05      -47.25      317.82      0.1949        3.90
  259      -53.53      -47.75      316.60      0.1826        4.10
  260      -54.07      -48.31      315.30      0.1689        4.16
  261      -54.68      -48.95      313.90      0.1535        4.23
  262      -55.39      -49.70      312.36      0.1357        4.42
  263      -56.26      -50.62      310.61      0.1146        4.70
  264      -57.39      -51.82      308.50      0.0878        4.97
  265      -59.20      -53.77      305.44      0.0463        5.15
  266      -58.13      -52.62       19.35      0.0492        5.46
  267      -56.30      -50.66       16.17      0.0923        6.14
  268      -55.15      -49.44       14.00      0.1204        6.30
  269      -54.26      -48.51       12.20      0.1426        5.99
  270      -53.52      -47.74       10.63      0.1613        5.63
  271      -52.89      -47.09        9.20      0.1776        5.47
  272      -52.34      -46.51        7.88      0.1921        5.38
  273      -51.84      -46.00        6.64      0.2052        5.09
  274      -51.40      -45.54        5.47      0.2171        4.58
  275      -50.99      -45.13        4.35      0.2280        4.05
  276      -50.62      -44.75        3.27      0.2381        3.62
  277      -50.28      -44.40        2.23      0.2475        3.16
  278      -49.96      -44.08        1.22      0.2562        2.47
  279      -49.67      -43.78        0.24      0.2642        1.55
  280      -49.40      -43.51      359.29      0.2717        0.62
  281      -49.15      -43.26      358.35      0.2787       -0.13
  282      -48.92      -43.02      357.44      0.2852       -0.66
  283      -48.70      -42.81      356.54      0.2913       -1.09
  284      -48.50      -42.61      355.66      0.2969       -1.44
  285      -48.32      -42.42      354.79      0.3022       -1.60
  286      -48.14      -42.25      353.93      0.3071       -1.47
  287      -47.99      -42.09      353.09      0.3116       -1.17
  288      -47.84      -41.94      352.25      0.3157       -0.92
  289      -47.71      -41.81      351.42      0.3196       -0.85
  290      -47.59      -41.69      350.61      0.3231       -0.91
  291      -47.47      -41.58      349.79      0.3263       -0.97
  292      -47.37      -41.48      348.99      0.3292       -0.98
  293      -47.28      -41.39      348.19      0.3318       -0.97
  294      -47.20      -41.31      347.39      0.3341       -1.04
  295      -47.13      -41.24      346.60      0.3361       -1.16
  296      -47.07      -41.18      345.82      0.3378       -1.27
  297      -47.02      -41.13      345.03      0.3393       -1.31
  298      -46.98      -41.09      344.25      0.3405       -1.36
  299      -46.95      -41.06      343.47      0.3414       -1.45
  300      -46.93      -41.03      342.69      0.3421       -1.52
  301      -46.91      -41.02      341.92      0.3425       -1.49
  302      -46.91      -41.02      341.14      0.3426       -1.38
  303      -46.91      -41.02      340.36      0.3425       -1.29
  304      -46.93      -41.03      339.59      0.3421       -1.23
  305      -46.95      -41.06      338.81      0.3414       -1.13
  306      -46.98      -41.09      338.03      0.3405       -0.91
  307      -47.02      -41.13      337.25      0.3393       -0.61
  308      -47.07      -41.18      336.47      0.3378       -0.39
  309      -47.13      -41.24      335.68      0.3361       -0.37
  310      -47.20      -41.31      334.89      0.3341       -0.50
  311      -47.28      -41.39      334.09      0.3318       -0.62
  312      -47.37      -41.48      333.29      0.3292       -0.65
  313      -47.47      -41.58      332.49      0.3263       -0.66
  314      -47.59      -41.69      331.68      0.3231       -0.76
  315      -47.71      -41.81      330.86      0.3196       -0.89
  316      -47.84      -41.94      330.03      0.3157       -0.85
  317      -47.99      -42.09      329.19      0.3116       -0.57
  318      -48.14      -42.25      328.35      0.3071       -0.19
  319      -48.32      -42.42      327.49      0.3022        0.08
  320      -48.50      -42.61      326.62      0.2969        0.21
  321      -48.70      -42.81      325.74      0.2913        0.35
  322      -48.92      -43.02      324.84      0.2852        0.62
  323      -49.15      -43.26      323.93      0.2787        1.03
  324      -49.40      -43.51      323.00      0.2717        1.51
  325      -49.67      -43.78      322.04      0.2642        2.01
  326      -49.96      -44.08      321.06      0.2562        2.53
  327      -50.28      -44.40      320.05      0.2475        2.97
  328      -50.62      -44.75      319.01      0.2381        3.27
  329      -50.99      -45.13      317.93      0.2280        3.45
  330      -51.40      -45.54      316.81      0.2171        3.63
  331      -51.84      -46.00      315.64      0.2052        3.93
  332      -52.34      -46.51      314.40      0.1921        4.39
  333      -52.89      -47.09      313.08      0.1776        4.91
  334      -53.52      -47.74      311.65      0.1613        5.38
  335      -54.26      -48.51      310.08      0.1426        5.62
  336      -55.15      -49.44      308.28      0.1204        5.53
  337      -56.30      -50.66      306.11      0.0923        5.20
  338      -58.13      -52.62      302.93      0.0492        4.88
  339      -58.00      -52.48       23.04      0.0308        4.34
  340      -55.63      -49.95       18.97      0.0870        4.57
  341      -54.36      -48.61       16.58      0.1187        5.25
  342      -53.40      -47.61       14.66      0.1430        5.93
  343      -52.61      -46.80       13.01      0.1633        6.16
  344      -51.94      -46.11       11.53      0.1810        5.90
  345      -51.36      -45.50       10.16      0.1966        5.40
  346      -50.83      -44.97        8.89      0.2107        4.92
  347      -50.36      -44.48        7.68      0.2236        4.48
  348      -49.93      -44.05        6.54      0.2354        3.98
  349      -49.53      -43.65        5.44      0.2463        3.43
  350      -49.17      -43.28        4.39      0.2565        2.93
  351      -48.83      -42.94        3.37      0.2659        2.52
  352      -48.52      -42.63        2.38      0.2747        2.08
  353      -48.23      -42.34        1.41      0.2829        1.48
  354      -47.96      -42.07        0.47      0.2906        0.73
  355      -47.71      -41.81      359.55      0.2978        0.00
  356      -47.48      -41.58      358.65      0.3045       -0.55
  357      -47.26      -41.36      357.77      0.3108       -0.92
  358      -47.05      -41.16      356.90      0.3167       -1.20
  359      -46.86      -40.97      356.04      0.3222       -1.41
  360      -46.69      -40.80      355.20      0.3274       -1.43
  361      -46.52      -40.63      354.37      0.3322       -1.17
  362      -46.37      -40.48      353.54      0.3367       -0.75
  363      -46.23      -40.34      352.73      0.3408       -0.41
  364      -46.10      -40.21      351.92      0.3447       -0.27
  365      -45.98      -40.09      351.13      0.3482       -0.23
  366      -45.87      -39.99      350.33      0.3514       -0.15
  367      -45.77      -39.89      349.55      0.3544       -0.02
  368      -45.68      -39.80      348.77      0.3571        0.05
  369      -45.59      -39.72      347.99      0.3595       -0.05
  370      -45.52      -39.65      347.22      0.3617       -0.25
  371      -45.46      -39.58      346.45      0.3635       -0.36
  372      -45.40      -39.53      345.69      0.3652       -0.34
  373      -45.36      -39.49      344.93      0.3665       -0.28
  374      -45.32      -39.45      344.17      0.3677       -0.29
  375      -45.29      -39.42      343.41      0.3685       -0.32
  376      -45.27      -39.40      342.65      0.3691       -0.23
  377      -45.26      -39.39      341.90      0.3695       -0.01
  378      -45.25      -39.38      341.14      0.3696        0.20
  379      -45.26      -39.39      340.39      0.3695        0.26
  380      -45.27      -39.40      339.63      0.3691        0.23
  381      -45.29      -39.42      338.87      0.3685        0.23
  382      -45.32      -39.45      338.11      0.3677        0.32
  383      -45.36      -39.49      337.35      0.3665        0.42
  384      -45.40      -39.53      336.59      0.3652        0.42
  385      -45.46      -39.58      335.83      0.3635        0.33
  386      -45.52      -39.65      335.06      0.3617        0.25
  387      -45.59      -39.72      334.29      0.3595        0.27
  388      -45.68      -39.80      333.51      0.3571        0.32
  389      -45.77      -39.89      332.73      0.3544        0.29
  390      -45.87      -39.99      331.95      0.3514        0.24
  391      -45.98      -40.09      331.16      0.3482        0.31
  392      -46.10      -40.21      330.36      0.3447        0.54
  393      -46.23      -40.34      329.55      0.3408        0.75
  394      -46.37      -40.48      328.74      0.3367        0.78
  395      -46.52      -40.63      327.91      0.3322        0.70
  396      -46.69      -40.80      327.08      0.3274        0.72
  397      -46.86      -40.97      326.24      0.3222        0.91
  398      -47.05      -41.16      325.38      0.3167        1.15
  399      -47.26      -41.36      324.51      0.3108        1.32
  400      -47.48      -41.58      323.63      0.3045        1.48
  401      -47.71      -41.81      322.73      0.2978        1.75
  402      -47.96      -42.07      321.81      0.2906        2.12
  403      -48.23      -42.34      320.87      0.2829        2.51
  404      -48.52      -42.63      319.90      0.2747        2.83
  405      -48.83      -42.94      318.91      0.2659        3.11
  406      -49.17      -43.28      317.89      0.2565        3.41
  407      -49.53      -43.65      316.84      0.2463        3.82
  408      -49.93      -44.05      315.74      0.2354        4.35
  409      -50.36      -44.48      314.60      0.2236        4.90
  410      -50.83      -44.97      313.39      0.2107        5.27
  411      -51.36      -45.50      312.12      0.1966        5.31
  412      -51.94      -46.11      310.76      0.1810        5.05
  413      -52.61      -46.80      309.27      0.1633        4.73
  414      -53.40      -47.61      307.62      0.1430        4.59
  415      -54.36      -48.61      305.71      0.1187        4.62
  416      -55.63      -49.95      303.31      0.0870        4.70
  417      -58.00      -52.48      299.24      0.0308        4.73
  418      -55.47      -49.78       22.37      0.0697        4.26
  419      -53.89      -48.12       19.48      0.1090        4.10
  420      -52.80      -46.98       17.34      0.1371        4.27
  421      -51.93      -46.09       15.55      0.1599        4.82
  422      -51.20      -45.34       13.97      0.1793        5.47
  423      -50.56      -44.69       12.54      0.1965        5.86
  424      -49.99      -44.11       11.21      0.2120        5.84
  425      -49.49      -43.60        9.96      0.2260        5.48
  426      -49.03      -43.13        8.78      0.2389        4.91
  427      -48.60      -42.71        7.66      0.2507        4.27
  428      -48.21      -42.32        6.58      0.2617        3.64
  429      -47.85      -41.96        5.53      0.2720        3.14
  430      -47.52      -41.62        4.53      0.2816        2.84
  431      -47.21      -41.31        3.55      0.2906        2.66
  432      -46.91      -41.02        2.60      0.2990        2.42
  433      -46.64      -40.75        1.67      0.3069        1.95
  434      -46.39      -40.50        0.76      0.3143        1.34
  435      -46.15      -40.26      359.87      0.3213        0.82
  436      -45.93      -40.04      358.99      0.3279        0.58
  437      -45.72      -39.84      358.13      0.3341        0.61
  438      -45.52      -39.65      357.29      0.3399        0.73
  439      -45.34      -39.47      356.45      0.3453        0.82
  440      -45.17      -39.30      355.63      0.3504        0.95
  441      -45.01      -39.14      354.82      0.3552        1.24
  442      -44.86      -39.00      354.01      0.3597        1.63
  443      -44.72      -38.86      353.22      0.3638        1.93
  444      -44.59      -38.73      352.43      0.3677        2.06
  445      -44.47      -38.62      351.65      0.3713        2.16
  446      -44.36      -38.51      350.87      0.3746        2.39
  447      -44.26      -38.41      350.10      0.3776        2.75
  448      -44.17      -38.32      349.34      0.3804        3.03
  449      -44.09      -38.24      348.58      0.3829        3.04
  450      -44.01      -38.17      347.83      0.3852        2.85
  451      -43.94      -38.10      347.07      0.3872        2.69
  452      -43.89      -38.05      346.33      0.3890        2.70
  453      -43.84      -38.00      345.58      0.3905        2.76
  454      -43.79      -37.96      344.84      0.3918        2.72
  455      -43.76      -37.92      344.10      0.3929        2.63
  456      -43.73      -37.90      343.36      0.3937        2.71
  457      -43.71      -37.88      342.62      0.3943        3.04
  458      -43.70      -37.87      341.88      0.3946        3.42
  459      -43.70      -37.87      341.14      0.3947        3.57
  460      -43.70      -37.87      340.40      0.3946        3.39
  461      -43.71      -37.88      339.67      0.3943        3.07
  462      -43.73      -37.90      338.93      0.3937        2.85
  463      -43.76      -37.92      338.19      0.3929        2.81
  464      -43.79      -37.96      337.44      0.3918        2.83
  465      -43.84      -38.00      336.70      0.3905        2.80
  466      -43.89      -38.05      335.96      0.3890        2.78
  467      -43.94      -38.10      335.21      0.3872        2.83
  468      -44.01      -38.17      334.46      0.3852        2.95
  469      -44.09      -38.24      333.70      0.3829        3.06
  470      -44.17      -38.32      332.94      0.3804        3.15
  471      -44.26      -38.41      332.18      0.3776        3.29
  472      -44.36      -38.51      331.41      0.3746        3.47
  473      -44.47      -38.62      330.63      0.3713        3.54
  474      -44.59      -38.73      329.85      0.3677        3.42
  475      -44.72      -38.86      329.07      0.3638        3.22
  476      -44.86      -39.00      328.27      0.3597        3.15
  477      -45.01      -39.14      327.47      0.3552        3.19
  478      -45.17      -39.30      326.65      0.3504        3.09
  479      -45.34      -39.47      325.83      0.3453        2.74
  480      -45.52      -39.65      325.00      0.3399        2.35
  481      -45.72      -39.84      324.15      0.3341        2.21
  482      -45.93      -40.04      323.29      0.3279        2.45
  483      -46.15      -40.26      322.42      0.3213        2.93
  484      -46.39      -40.50      321.52      0.3143        3.43
  485      -46.64      -40.75      320.62      0.3069        3.77
  486      -46.91      -41.02      319.69      0.2990        3.96
  487      -47.21      -41.31      318.73      0.2906        4.12
  488      -47.52      -41.62      317.75      0.2816        4.35
  489      -47.85      -41.96      316.75      0.2720        4.68
  490      -48.21      -42.32      315.71      0.2617        4.95
  491      -48.60      -42.71      314.62      0.2507        5.02
  492      -49.03      -43.13      313.50      0.2389        4.90
  493      -49.49      -43.60      312.32      0.2260        4.76
  494      -49.99      -44.11      311.07      0.2120        4.76
  495      -50.56      -44.69      309.74      0.1965        4.89
  496      -51.20      -45.34      308.31      0.1793        4.99
  497      -51.93      -46.09      306.73      0.1599        5.01
  498      -52.80      -46.98      304.94      0.1371        5.01
  499      -53.89      -48.12      302.81      0.1090        5.02
  500      -55.47      -49.78      299.91      0.0697        4.98
  501      -56.65      -51.04       27.86      0.0197        3.50
  502      -53.83      -48.06       22.90      0.0890        3.76
  503      -52.48      -46.66       20.32      0.1238        3.80
  504      -51.47      -45.62       18.31      0.1504        3.76
  505      -50.65      -44.78       16.58      0.1726        3.91
  506      -49.94      -44.06       15.04      0.1918        4.37
  507      -49.32      -43.43       13.63      0.2089        5.05
  508      -48.77      -42.88       12.32      0.2243        5.67
  509      -48.27      -42.37       11.09      0.2384        6.01
  510      -47.81      -41.92        9.92      0.2514        5.96
  511      -47.39      -41.50        8.81      0.2635        5.53
  512      -47.00      -41.11        7.74      0.2747        4.88
  513      -46.64      -40.75        6.71      0.2852        4.21
  514      -46.31      -40.42        5.71      0.2950        3.79
  515      -45.99      -40.11        4.73      0.3042        3.73
  516      -45.70      -39.82        3.79      0.3129        3.87
  517      -45.42      -39.55        2.87      0.3210        3.89
  518      -45.16      -39.29        1.96      0.3287        3.56
  519      -44.92      -39.05        1.08      0.3360        2.98
  520      -44.69      -38.83        0.21      0.3429        2.53
  521      -44.48      -38.62      359.36      0.3493        2.52
  522      -44.27      -38.42      358.52      0.3554        2.93
  523      -44.08      -38.24      357.69      0.3611        3.51
  524      -43.91      -38.07      356.88      0.3666        3.96
  525      -43.74      -37.90      356.07      0.3716        4.24
  526      -43.58      -37.75      355.27      0.3764        4.46
  527      -43.43      -37.61      354.49      0.3809        4.64
  528      -43.30      -37.48      353.71      0.3851        4.69
  529      -43.17      -37.35      352.93      0.3890        4.58
  530      -43.05      -37.24      352.17      0.3927        4.47
  531      -42.94      -37.13      351.41      0.3961        4.61
  532      -42.84      -37.03      350.65      0.3992        5.02
