# IDX        LATG        LATC        LONW          MU          TB
  122      -51.14      -45.28       80.36      0.2442      142.89
  123      -51.07      -45.21       79.55      0.2460      143.42
  124      -51.01      -45.15       78.74      0.2475      143.62
  125      -50.96      -45.10       77.93      0.2486      143.75
  126      -50.93      -45.07       77.13      0.2495      144.04
  127      -50.91      -45.05       76.33      0.2500      144.63
  128      -50.91      -45.04       75.53      0.2501      145.42
  129      -50.91      -45.05       74.73      0.2500      146.01
  130      -50.93      -45.07       73.93      0.2495      145.93
  131      -50.97      -45.10       73.12      0.2486      145.15
  132      -51.01      -45.15       72.32      0.2475      144.17
  133      -51.07      -45.21       71.51      0.2460      143.29
  134      -51.14      -45.28       70.70      0.2441      142.19
  135      -51.23      -45.37       69.88      0.2419      140.57
  136      -51.33      -45.47       69.06      0.2394      138.87
  137      -51.44      -45.59       68.23      0.2364      137.79
  138      -51.58      -45.73       67.39      0.2331      137.47
  139      -51.72      -45.88       66.54      0.2294      137.39
  140      -51.89      -46.05       65.68      0.2253      136.86
  141      -52.07      -46.23       64.81      0.2207      135.36
  142      -52.27      -46.44       63.93      0.2156      132.46
  143      -52.50      -46.67       63.03      0.2101      128.29
  144      -52.74      -46.93       62.11      0.2040      123.87
  145      -53.01      -47.21       61.17      0.1973      120.48
  146      -53.31      -47.52       60.20      0.1899      118.53
  147      -53.65      -47.87       59.20      0.1818      117.21
  148      -54.01      -48.25       58.17      0.1729      115.14
  149      -54.43      -48.68       57.10      0.1631      111.15
  150      -54.89      -49.17       55.97      0.1521      105.06
  151      -55.42      -49.73       54.78      0.1397       98.09
  152      -56.04      -50.38       53.50      0.1254       92.00
  153      -56.77      -51.16       52.08      0.1087       87.24
  154      -57.70      -52.15       50.46      0.0881       82.23
  155      -59.01      -53.57       48.42      0.0597       75.32
  156      -58.36      -52.87      106.46      0.0546       72.84
  157      -56.83      -51.22      104.09      0.0884       84.30
  158      -55.79      -50.12      102.31      0.1119       94.31
  159      -54.99      -49.27      100.80      0.1308      103.27
  160      -54.31      -48.56       99.44      0.1467      111.43
  161      -53.73      -47.96       98.19      0.1606      118.67
  162      -53.22      -47.43       97.02      0.1730      124.60
  163      -52.77      -46.96       95.91      0.1841      128.93
  164      -52.36      -46.53       94.86      0.1942      131.93
  165      -51.99      -46.15       93.84      0.2035      134.26
  166      -51.65      -45.81       92.86      0.2119      136.44
  167      -51.35      -45.49       91.90      0.2197      138.65
  168      -51.07      -45.20       90.97      0.2268      140.70
  169      -50.81      -44.94       90.07      0.2334      142.18
  170      -50.57      -44.70       89.18      0.2395      142.79
  171      -50.36      -44.48       88.31      0.2451      142.76
  172      -50.16      -44.28       87.45      0.2502      142.74
  173      -49.98      -44.09       86.61      0.2550      143.15
  174      -49.81      -43.93       85.77      0.2593      143.62
  175      -49.66      -43.77       84.95      0.2632      143.53
  176      -49.52      -43.63       84.14      0.2668      142.91
  177      -49.40      -43.51       83.33      0.2700      142.50
  178      -49.29      -43.40       82.53      0.2729      142.90
  179      -49.19      -43.30       81.74      0.2755      143.84
  180      -49.11      -43.22       80.95      0.2777      144.52
  181      -49.04      -43.14       80.17      0.2797      144.57
  182      -48.97      -43.08       79.39      0.2813      144.27
  183      -48.92      -43.03       78.61      0.2826      144.05
  184      -48.89      -42.99       77.84      0.2836      144.19
  185      -48.86      -42.96       77.07      0.2844      144.78
  186      -48.84      -42.95       76.30      0.2848      145.64
  187      -48.84      -42.94       75.53      0.2849      146.35
  188      -48.84      -42.95       74.76      0.2848      146.46
  189      -48.86      -42.97       73.99      0.2844      145.94
  190      -48.89      -42.99       73.22      0.2836      145.26
  191      -48.93      -43.03       72.44      0.2826      144.78
  192      -48.98      -43.08       71.67      0.2813      144.35
  193      -49.04      -43.14       70.89      0.2796      143.79
  194      -49.11      -43.22       70.10      0.2777      143.29
  195      -49.19      -43.30       69.32      0.2755      143.18
  196      -49.29      -43.40       68.52      0.2729      143.41
  197      -49.40      -43.51       67.73      0.2700      143.57
  198      -49.52      -43.64       66.92      0.2667      143.36
  199      -49.66      -43.78       66.11      0.2632      142.69
  200      -49.81      -43.93       65.28      0.2592      141.38
  201      -49.98      -44.10       64.45      0.2549      139.31
  202      -50.16      -44.28       63.61      0.2501      136.88
  203      -50.36      -44.48       62.75      0.2450      134.88
  204      -50.58      -44.71       61.88      0.2394      133.68
  205      -50.81      -44.95       60.99      0.2333      132.87
  206      -51.07      -45.21       60.08      0.2267      131.60
  207      -51.35      -45.50       59.15      0.2195      129.14
  208      -51.66      -45.81       58.20      0.2117      125.37
  209      -52.00      -46.16       57.21      0.2033      121.05
  210      -52.37      -46.54       56.20      0.1940      117.23
  211      -52.78      -46.96       55.14      0.1839      114.02
  212      -53.23      -47.44       54.03      0.1728      110.08
  213      -53.74      -47.97       52.86      0.1604      104.17
  214      -54.32      -48.58       51.61      0.1464       96.90
  215      -55.00      -49.29       50.25      0.1304       90.20
  216      -55.81      -50.14       48.73      0.1115       84.79
  217      -56.85      -51.25       46.95      0.0879       79.45
  218      -58.40      -52.91       44.56      0.0537       72.83
  219      -56.75      -51.14      108.27      0.0711       73.87
  220      -55.40      -49.71      106.06      0.1020       86.76
  221      -54.42      -48.68      104.32      0.1250       98.11
  222      -53.63      -47.85      102.81      0.1439      107.31
  223      -52.97      -47.16      101.46      0.1601      114.52
  224      -52.39      -46.56      100.21      0.1744      120.39
  225      -51.87      -46.03       99.04      0.1872      125.35
  226      -51.41      -45.56       97.93      0.1989      129.50
  227      -50.99      -45.13       96.87      0.2095      132.76
  228      -50.61      -44.74       95.85      0.2192      135.08
  229      -50.26      -44.39       94.87      0.2282      136.56
  230      -49.94      -44.06       93.92      0.2365      137.51
  231      -49.65      -43.76       92.99      0.2443      138.37
  232      -49.37      -43.49       92.09      0.2514      139.49
  233      -49.12      -43.23       91.20      0.2581      140.83
  234      -48.89      -43.00       90.33      0.2642      141.96
  235      -48.67      -42.78       89.48      0.2700      142.51
  236      -48.47      -42.58       88.65      0.2753      142.58
  237      -48.29      -42.39       87.82      0.2802      142.61
  238      -48.12      -42.22       87.01      0.2848      142.84
  239      -47.97      -42.07       86.20      0.2890      143.02
  240      -47.82      -41.93       85.41      0.2928      142.81
  241      -47.69      -41.80       84.62      0.2964      142.35
  242      -47.57      -41.68       83.84      0.2996      142.19
  243      -47.47      -41.57       83.06      0.3025      142.67
  244      -47.37      -41.48       82.30      0.3051      143.41
  245      -47.29      -41.39       81.53      0.3074      143.75
  246      -47.21      -41.32       80.77      0.3094      143.47
  247      -47.15      -41.25       80.02      0.3112      142.90
  248      -47.09      -41.20       79.26      0.3126      142.46
  249      -47.05      -41.16       78.51      0.3138      142.35
  250      -47.02      -41.12       77.77      0.3148      142.61
  251      -46.99      -41.10       77.02      0.3154      143.16
  252      -46.98      -41.08       76.27      0.3158      143.71
  253      -46.97      -41.08       75.53      0.3160      143.91
  254      -46.98      -41.09       74.78      0.3158      143.67
  255      -46.99      -41.10       74.04      0.3154      143.27
  256      -47.02      -41.12       73.29      0.3148      142.96
  257      -47.05      -41.16       72.54      0.3138      142.75
  258      -47.10      -41.20       71.79      0.3126      142.62
  259      -47.15      -41.25       71.04      0.3111      142.72
  260      -47.21      -41.32       70.28      0.3094      143.13
  261      -47.29      -41.39       69.52      0.3074      143.67
  262      -47.37      -41.48       68.76      0.3050      144.17
  263      -47.47      -41.57       67.99      0.3024      144.63
  264      -47.58      -41.68       67.22      0.2995      145.11
  265      -47.69      -41.80       66.44      0.2963      145.23
  266      -47.83      -41.93       65.65      0.2928      144.46
  267      -47.97      -42.07       64.85      0.2889      142.88
  268      -48.12      -42.23       64.05      0.2847      141.18
  269      -48.29      -42.40       63.24      0.2801      139.93
  270      -48.48      -42.58       62.41      0.2752      139.09
  271      -48.68      -42.78       61.57      0.2699      138.24
  272      -48.89      -43.00       60.72      0.2641      136.97
  273      -49.13      -43.24       59.85      0.2579      135.17
  274      -49.38      -43.49       58.97      0.2513      133.11
  275      -49.65      -43.77       58.06      0.2441      131.22
  276      -49.95      -44.07       57.14      0.2364      129.48
  277      -50.27      -44.39       56.18      0.2281      127.09
  278      -50.62      -44.75       55.20      0.2190      123.36
  279      -51.00      -45.14       54.18      0.2093      118.70
  280      -51.42      -45.57       53.12      0.1986      114.32
  281      -51.88      -46.04       52.01      0.1870      110.57
  282      -52.40      -46.57       50.84      0.1741      106.46
  283      -52.98      -47.17       49.59      0.1598      101.05
  284      -53.65      -47.87       48.23      0.1435       94.61
  285      -54.44      -48.70       46.72      0.1246       87.90
  286      -55.42      -49.73       44.98      0.1015       80.74
  287      -56.78      -51.18       42.75      0.0703       72.60
  288      -55.77      -50.10      110.60      0.0743       73.51
  289      -54.39      -48.64      108.31      0.1066       86.58
  290      -53.38      -47.60      106.51      0.1307       98.01
  291      -52.57      -46.75      104.97      0.1506      107.50
  292      -51.89      -46.05      103.58      0.1677      115.01
  293      -51.29      -45.43      102.30      0.1828      120.67
  294      -50.75      -44.88      101.11      0.1964      124.89
  295      -50.27      -44.40       99.99      0.2087      128.17
  296      -49.84      -43.95       98.92      0.2200      130.85
  297      -49.44      -43.55       97.89      0.2304      133.05
  298      -49.07      -43.18       96.90      0.2401      134.73
  299      -48.73      -42.84       95.94      0.2490      135.80
  300      -48.42      -42.53       95.00      0.2574      136.16
  301      -48.13      -42.23       94.10      0.2652      136.10
  302      -47.86      -41.97       93.21      0.2724      136.31
  303      -47.61      -41.71       92.34      0.2792      137.30
  304      -47.38      -41.48       91.49      0.2855      138.79
  305      -47.16      -41.27       90.65      0.2915      140.08
  306      -46.96      -41.07       89.83      0.2970      140.78
  307      -46.77      -40.88       89.02      0.3021      141.04
  308      -46.60      -40.71       88.22      0.3070      141.19
  309      -46.43      -40.55       87.43      0.3114      141.40
  310      -46.29      -40.40       86.65      0.3156      141.52
  311      -46.15      -40.26       85.87      0.3194      141.43
  312      -46.02      -40.14       85.11      0.3229      141.23
  313      -45.90      -40.02       84.35      0.3261      141.26
  314      -45.80      -39.92       83.59      0.3291      141.62
  315      -45.70      -39.82       82.85      0.3317      142.02
  316      -45.62      -39.74       82.10      0.3341      142.07
  317      -45.54      -39.67       81.36      0.3363      141.68
  318      -45.48      -39.60       80.63      0.3381      141.12
  319      -45.42      -39.54       79.89      0.3398      140.58
  320      -45.37      -39.50       79.16      0.3411      140.14
  321      -45.33      -39.46       78.43      0.3422      139.93
  322      -45.30      -39.43       77.70      0.3431      140.09
  323      -45.28      -39.41       76.98      0.3437      140.55
  324      -45.27      -39.39       76.25      0.3440      140.97
  325      -45.26      -39.39       75.53      0.3442      141.08
  326      -45.27      -39.39       74.80      0.3440      140.90
  327      -45.28      -39.41       74.08      0.3437      140.62
  328      -45.30      -39.43       73.35      0.3431      140.42
  329      -45.33      -39.46       72.63      0.3422      140.47
  330      -45.37      -39.50       71.90      0.3411      140.87
  331      -45.42      -39.55       71.17      0.3397      141.54
  332      -45.48      -39.60       70.43      0.3381      142.28
  333      -45.54      -39.67       69.70      0.3362      143.10
  334      -45.62      -39.74       68.96      0.3341      144.20
  335      -45.71      -39.83       68.21      0.3317      145.54
  336      -45.80      -39.92       67.46      0.3290      146.50
  337      -45.91      -40.02       66.71      0.3261      146.31
  338      -46.02      -40.14       65.95      0.3228      144.97
  339      -46.15      -40.26       65.18      0.3193      143.23
  340      -46.29      -40.40       64.41      0.3155      141.78
  341      -46.44      -40.55       63.63      0.3113      140.75
  342      -46.60      -40.71       62.84      0.3069      139.96
  343      -46.77      -40.88       62.04      0.3020      139.20
  344      -46.96      -41.07       61.23      0.2969      138.36
  345      -47.16      -41.27       60.40      0.2913      137.41
  346      -47.38      -41.49       59.57      0.2854      136.43
  347      -47.62      -41.72       58.71      0.2791      135.41
  348      -47.87      -41.97       57.85      0.2723      134.13
  349      -48.14      -42.24       56.96      0.2650      132.31
  350      -48.43      -42.53       56.05      0.2572      130.14
  351      -48.74      -42.85       55.12      0.2489      128.14
  352      -49.08      -43.19       54.16      0.2399      126.39
  353      -49.45      -43.56       53.17      0.2302      124.26
  354      -49.84      -43.96       52.14      0.2198      121.17
  355      -50.28      -44.40       51.06      0.2085      117.28
  356      -50.76      -44.89       49.94      0.1961      112.84
  357      -51.30      -45.44       48.74      0.1825      107.54
  358      -51.90      -46.06       47.47      0.1674      100.95
  359      -52.59      -46.77       46.08      0.1502       93.57
  360      -53.40      -47.61       44.53      0.1303       86.23
  361      -54.41      -48.67       42.73      0.1061       78.80
  362      -55.81      -50.14       40.42      0.0735       70.71
  363      -55.30      -49.61      113.43      0.0660       72.91
  364      -53.72      -47.95      110.83      0.1034       86.41
  365      -52.63      -46.81      108.89      0.1301       98.35
  366      -51.76      -45.91      107.26      0.1517      107.73
  367      -51.03      -45.16      105.81      0.1701      114.38
  368      -50.39      -44.51      104.49      0.1864      118.98
  369      -49.83      -43.94      103.26      0.2010      122.46
  370      -49.32      -43.43      102.10      0.2143      125.41
  371      -48.86      -42.96      101.00      0.2265      127.98
  372      -48.44      -42.54       99.96      0.2377      130.18
  373      -48.05      -42.15       98.95      0.2481      131.99
  374      -47.69      -41.79       97.97      0.2578      133.43
  375      -47.35      -41.46       97.03      0.2668      134.45
  376      -47.04      -41.15       96.11      0.2753      134.84
  377      -46.76      -40.86       95.22      0.2832      134.43
  378      -46.49      -40.60       94.34      0.2906      133.66
  379      -46.23      -40.35       93.49      0.2976      133.63
  380      -46.00      -40.12       92.65      0.3041      134.95
  381      -45.78      -39.90       91.82      0.3102      136.99
  382      -45.57      -39.70       91.01      0.3160      138.70
  383      -45.38      -39.51       90.21      0.3214      139.66
  384      -45.20      -39.33       89.42      0.3265      140.09
  385      -45.03      -39.17       88.64      0.3312      140.33
  386      -44.88      -39.01       87.87      0.3356      140.50
  387      -44.73      -38.87       87.10      0.3397      140.57
  388      -44.60      -38.74       86.35      0.3436      140.52
  389      -44.47      -38.62       85.60      0.3471      140.44
  390      -44.36      -38.50       84.86      0.3504      140.46
  391      -44.25      -38.40       84.12      0.3534      140.58
  392      -44.15      -38.31       83.39      0.3561      140.64
  393      -44.07      -38.22       82.66      0.3586      140.46
  394      -43.99      -38.15       81.94      0.3608      140.07
  395      -43.92      -38.08       81.22      0.3628      139.54
  396      -43.86      -38.02       80.50      0.3646      138.87
  397      -43.81      -37.97       79.78      0.3661      138.06
  398      -43.76      -37.93       79.07      0.3673      137.40
  399      -43.73      -37.89       78.36      0.3684      137.34
  400      -43.70      -37.87       77.65      0.3692      137.97
  401      -43.68      -37.85       76.94      0.3697      138.80
  402      -43.67      -37.84       76.24      0.3701      139.26
  403      -43.66      -37.83       75.53      0.3702      139.22
  404      -43.67      -37.84       74.82      0.3701      138.87
  405      -43.68      -37.85       74.11      0.3697      138.57
  406      -43.70      -37.87       73.41      0.3692      138.68
  407      -43.73      -37.89       72.70      0.3684      139.27
  408      -43.76      -37.93       71.99      0.3673      140.12
  409      -43.81      -37.97       71.27      0.3660      140.98
  410      -43.86      -38.02       70.56      0.3645      141.92
  411      -43.92      -38.08       69.84      0.3628      143.15
  412      -43.99      -38.15       69.12      0.3608      144.59
  413      -44.07      -38.23       68.40      0.3585      145.61
  414      -44.16      -38.31       67.67      0.3561      145.56
  415      -44.25      -38.40       66.94      0.3533      144.45
  416      -44.36      -38.51       66.20      0.3503      142.96
  417      -44.47      -38.62       65.46      0.3470      141.67
  418      -44.60      -38.74       64.71      0.3435      140.70
  419      -44.73      -38.87       63.95      0.3397      139.93
  420      -44.88      -39.02       63.19      0.3355      139.28
  421      -45.03      -39.17       62.42      0.3311      138.72
  422      -45.20      -39.33       61.64      0.3264      138.13
  423      -45.38      -39.51       60.85      0.3213      137.40
  424      -45.58      -39.70       60.05      0.3159      136.60
  425      -45.78      -39.90       59.24      0.3101      135.85
  426      -46.00      -40.12       58.41      0.3040      135.16
  427      -46.24      -40.35       57.57      0.2974      134.58
  428      -46.49      -40.60       56.71      0.2905      134.20
  429      -46.76      -40.87       55.84      0.2830      133.94
  430      -47.05      -41.16       54.94      0.2751      133.39
  431      -47.36      -41.47       54.02      0.2666      132.21
