# Bin Radiances of Band b1: 3.3 - 3e+03
# Ray output size: 1
# Polar angles: 48.200
# Azimuthal angles: 0.000
#       wave1       wave2    Radiance1      weight
          691         691     129.800       0.001
          694         694     129.754       0.001
          697         697     129.704       0.001
          700         700     129.651       0.001
          703         703     129.595       0.001
          706         706     129.535       0.001
          709         709     129.473       0.001
          712         712     129.407       0.001
          715         715     129.339       0.001
          718         718     129.269       0.001
          721         721     129.197       0.001
          724         724     129.123       0.001
          727         727     129.047       0.001
          730         730     128.969       0.001
          733         733     128.890       0.001
          736         736     128.808       0.001
          739         739     128.725       0.001
          742         742     128.641       0.001
          745         745     128.554       0.001
          748         748     128.466       0.001
          751         751     128.376       0.001
          754         754     128.284       0.001
          757         757     128.191       0.001
          760         760     128.097       0.001
          763         763     128.002       0.001
          766         766     127.906       0.001
          769         769     127.809       0.001
          772         772     127.711       0.001
          775         775     127.612       0.001
          778         778     127.512       0.001
          781         781     127.412       0.001
          784         784     127.311       0.001
          787         787     127.210       0.001
          790         790     127.108       0.001
          793         793     127.005       0.001
          796         796     126.902       0.001
          799         799     126.799       0.001
          802         802     126.695       0.001
          805         805     126.591       0.001
          808         808     126.486       0.001
          811         811     126.382       0.001
          814         814     126.279       0.001
          817         817     126.176       0.001
          820         820     126.072       0.001
          823         823     125.968       0.001
          826         826     125.864       0.001
          829         829     125.760       0.001
          832         832     125.655       0.001
          835         835     125.550       0.001
          838         838     125.446       0.001
          841         841     125.342       0.001
          844         844     125.239       0.001
          847         847     125.137       0.001
          850         850     125.034       0.001
          853         853     124.931       0.001
          856         856     124.828       0.001
          859         859     124.726       0.001
          862         862     124.623       0.001
          865         865     124.519       0.001
          868         868     124.416       0.001
          871         871     124.314       0.001
          874         874     124.213       0.001
          877         877     124.111       0.001
          880         880     124.009       0.001
          883         883     123.908       0.001
          886         886     123.806       0.001
          889         889     123.704       0.001
          892         892     123.603       0.001
          895         895     123.501       0.001
          898         898     123.400       0.001
          901         901     123.297       0.001
          904         904     123.195       0.001
          907         907     123.092       0.001
          910         910     122.990       0.001
          913         913     122.887       0.001
          916         916     122.785       0.001
          919         919     122.683       0.001
          922         922     122.580       0.001
          925         925     122.478       0.001
          928         928     122.376       0.001
          931         931     122.275       0.001
          934         934     122.174       0.001
          937         937     122.074       0.001
          940         940     121.973       0.001
          943         943     121.873       0.001
          946         946     121.772       0.001
          949         949     121.672       0.001
          952         952     121.571       0.001
          955         955     121.471       0.001
          958         958     121.371       0.001
          961         961     121.271       0.001
          964         964     121.171       0.001
          967         967     121.071       0.001
          970         970     120.971       0.001
          973         973     120.871       0.001
          976         976     120.771       0.001
          979         979     120.671       0.001
          982         982     120.571       0.001
          985         985     120.471       0.001
          988         988     120.371       0.001
          991         991     120.272       0.001
          994         994     120.174       0.001
          997         997     120.076       0.001
        1e+03       1e+03     119.977       0.001
        1e+03       1e+03     119.879       0.001
     1.01e+03    1.01e+03     119.780       0.001
     1.01e+03    1.01e+03     119.681       0.001
     1.01e+03    1.01e+03     119.582       0.001
     1.02e+03    1.02e+03     119.483       0.001
     1.02e+03    1.02e+03     119.384       0.001
     1.02e+03    1.02e+03     119.285       0.001
     1.02e+03    1.02e+03     119.187       0.001
     1.03e+03    1.03e+03     119.089       0.001
     1.03e+03    1.03e+03     118.991       0.001
     1.03e+03    1.03e+03     118.892       0.001
     1.04e+03    1.04e+03     118.793       0.001
     1.04e+03    1.04e+03     118.693       0.001
     1.04e+03    1.04e+03     118.593       0.001
     1.05e+03    1.05e+03     118.492       0.001
     1.05e+03    1.05e+03     118.391       0.001
     1.05e+03    1.05e+03     118.289       0.001
     1.05e+03    1.05e+03     118.186       0.001
     1.06e+03    1.06e+03     118.082       0.001
     1.06e+03    1.06e+03     117.978       0.001
     1.06e+03    1.06e+03     117.873       0.001
     1.07e+03    1.07e+03     117.767       0.001
     1.07e+03    1.07e+03     117.660       0.001
     1.07e+03    1.07e+03     117.552       0.001
     1.08e+03    1.08e+03     117.443       0.001
     1.08e+03    1.08e+03     117.333       0.001
     1.08e+03    1.08e+03     117.223       0.001
     1.08e+03    1.08e+03     117.112       0.001
     1.09e+03    1.09e+03     116.999       0.001
     1.09e+03    1.09e+03     116.885       0.001
     1.09e+03    1.09e+03     116.768       0.001
      1.1e+03     1.1e+03     116.650       0.001
      1.1e+03     1.1e+03     116.530       0.001
      1.1e+03     1.1e+03     116.407       0.001
     1.11e+03    1.11e+03     116.281       0.001
     1.11e+03    1.11e+03     116.152       0.001
     1.11e+03    1.11e+03     116.021       0.001
     1.11e+03    1.11e+03     115.886       0.001
     1.12e+03    1.12e+03     115.746       0.001
     1.12e+03    1.12e+03     115.602       0.001
     1.12e+03    1.12e+03     115.451       0.001
     1.13e+03    1.13e+03     115.294       0.001
     1.13e+03    1.13e+03     115.128       0.001
     1.13e+03    1.13e+03     114.952       0.001
     1.14e+03    1.14e+03     114.764       0.001
     1.14e+03    1.14e+03     114.562       0.001
     1.14e+03    1.14e+03     114.342       0.001
     1.14e+03    1.14e+03     114.098       0.001
     1.15e+03    1.15e+03     113.823       0.001
     1.15e+03    1.15e+03     113.506       0.001
     1.15e+03    1.15e+03     113.131       0.001
     1.16e+03    1.16e+03     112.671       0.001
     1.16e+03    1.16e+03     112.082       0.001
     1.16e+03    1.16e+03     111.293       0.001
     1.17e+03    1.17e+03     110.230       0.001
     1.17e+03    1.17e+03     109.364       0.001
     1.17e+03    1.17e+03     110.081       0.001
     1.17e+03    1.17e+03     111.049       0.001
     1.18e+03    1.18e+03     111.691       0.001
     1.18e+03    1.18e+03     112.069       0.001
     1.18e+03    1.18e+03     112.255       0.001
     1.19e+03    1.19e+03     112.295       0.001
     1.19e+03    1.19e+03     112.220       0.001
     1.19e+03    1.19e+03     112.050       0.001
      1.2e+03     1.2e+03     111.794       0.001
      1.2e+03     1.2e+03     111.452       0.001
      1.2e+03     1.2e+03     111.012       0.001
      1.2e+03     1.2e+03     110.447       0.001
     1.21e+03    1.21e+03     109.700       0.001
     1.21e+03    1.21e+03     108.669       0.001
     1.21e+03    1.21e+03     107.324       0.001
     1.22e+03    1.22e+03     107.252       0.001
     1.22e+03    1.22e+03     108.532       0.001
     1.22e+03    1.22e+03     109.513       0.001
     1.23e+03    1.23e+03     110.206       0.001
     1.23e+03    1.23e+03     110.720       0.001
     1.23e+03    1.23e+03     111.117       0.001
     1.23e+03    1.23e+03     111.434       0.001
     1.24e+03    1.24e+03     111.692       0.001
     1.24e+03    1.24e+03     111.905       0.001
     1.24e+03    1.24e+03     112.084       0.001
     1.25e+03    1.25e+03     112.235       0.001
     1.25e+03    1.25e+03     112.364       0.001
     1.25e+03    1.25e+03     112.475       0.001
     1.26e+03    1.26e+03     112.571       0.001
