# Bin Radiances of Band b1: 3.3 - 3e+03
# Ray output size: 1
# Polar angles: 48.200
# Azimuthal angles: 0.000
#       wave1       wave2    Radiance1      weight
     2.18e+03    2.18e+03     105.748       0.001
     2.19e+03    2.19e+03     105.729       0.001
     2.19e+03    2.19e+03     105.711       0.001
     2.19e+03    2.19e+03     105.692       0.001
      2.2e+03     2.2e+03     105.674       0.001
      2.2e+03     2.2e+03     105.655       0.001
      2.2e+03     2.2e+03     105.636       0.001
      2.2e+03     2.2e+03     105.617       0.001
     2.21e+03    2.21e+03     105.598       0.001
     2.21e+03    2.21e+03     105.578       0.001
     2.21e+03    2.21e+03     105.559       0.001
     2.22e+03    2.22e+03     105.539       0.001
     2.22e+03    2.22e+03     105.519       0.001
     2.22e+03    2.22e+03     105.499       0.001
     2.23e+03    2.23e+03     105.480       0.001
     2.23e+03    2.23e+03     105.460       0.001
     2.23e+03    2.23e+03     105.440       0.001
     2.23e+03    2.23e+03     105.419       0.001
     2.24e+03    2.24e+03     105.399       0.001
     2.24e+03    2.24e+03     105.377       0.001
     2.24e+03    2.24e+03     105.356       0.001
     2.25e+03    2.25e+03     105.334       0.001
     2.25e+03    2.25e+03     105.312       0.001
     2.25e+03    2.25e+03     105.290       0.001
     2.26e+03    2.26e+03     105.267       0.001
     2.26e+03    2.26e+03     105.243       0.001
     2.26e+03    2.26e+03     105.219       0.001
     2.26e+03    2.26e+03     105.195       0.001
     2.27e+03    2.27e+03     105.170       0.001
     2.27e+03    2.27e+03     105.144       0.001
     2.27e+03    2.27e+03     105.118       0.001
     2.28e+03    2.28e+03     105.091       0.001
     2.28e+03    2.28e+03     105.063       0.001
     2.28e+03    2.28e+03     105.035       0.001
     2.29e+03    2.29e+03     105.006       0.001
     2.29e+03    2.29e+03     104.975       0.001
     2.29e+03    2.29e+03     104.944       0.001
     2.29e+03    2.29e+03     104.911       0.001
      2.3e+03     2.3e+03     104.877       0.001
      2.3e+03     2.3e+03     104.840       0.001
      2.3e+03     2.3e+03     104.803       0.001
     2.31e+03    2.31e+03     104.762       0.001
     2.31e+03    2.31e+03     104.720       0.001
     2.31e+03    2.31e+03     104.674       0.001
     2.32e+03    2.32e+03     104.625       0.001
     2.32e+03    2.32e+03     104.572       0.001
     2.32e+03    2.32e+03     104.514       0.001
     2.32e+03    2.32e+03     104.450       0.001
     2.33e+03    2.33e+03     104.379       0.001
     2.33e+03    2.33e+03     104.299       0.001
     2.33e+03    2.33e+03     104.207       0.001
     2.34e+03    2.34e+03     104.100       0.001
     2.34e+03    2.34e+03     103.973       0.001
     2.34e+03    2.34e+03     103.816       0.001
     2.35e+03    2.35e+03     103.617       0.001
     2.35e+03    2.35e+03     103.349       0.001
     2.35e+03    2.35e+03     102.962       0.001
     2.35e+03    2.35e+03     102.352       0.001
     2.36e+03    2.36e+03     101.640       0.001
     2.36e+03    2.36e+03     102.100       0.001
     2.36e+03    2.36e+03     102.752       0.001
     2.37e+03    2.37e+03     103.158       0.001
     2.37e+03    2.37e+03     103.405       0.001
     2.37e+03    2.37e+03     103.552       0.001
     2.38e+03    2.38e+03     103.625       0.001
     2.38e+03    2.38e+03     103.639       0.001
     2.38e+03    2.38e+03     103.598       0.001
     2.38e+03    2.38e+03     103.505       0.001
     2.39e+03    2.39e+03     103.354       0.001
     2.39e+03    2.39e+03     103.127       0.001
     2.39e+03    2.39e+03     102.787       0.001
      2.4e+03     2.4e+03     102.238       0.001
      2.4e+03     2.4e+03     101.402       0.001
      2.4e+03     2.4e+03     101.515       0.001
     2.41e+03    2.41e+03     101.814       0.001
     2.41e+03    2.41e+03     102.407       0.001
     2.41e+03    2.41e+03     102.871       0.001
     2.41e+03    2.41e+03     103.177       0.001
     2.42e+03    2.42e+03     103.394       0.001
     2.42e+03    2.42e+03     103.557       0.001
     2.42e+03    2.42e+03     103.685       0.001
     2.43e+03    2.43e+03     103.789       0.001
     2.43e+03    2.43e+03     103.874       0.001
     2.43e+03    2.43e+03     103.945       0.001
     2.44e+03    2.44e+03     104.006       0.001
     2.44e+03    2.44e+03     104.058       0.001
     2.44e+03    2.44e+03     104.103       0.001
     2.44e+03    2.44e+03     104.142       0.001
     2.45e+03    2.45e+03     104.177       0.001
     2.45e+03    2.45e+03     104.207       0.001
     2.45e+03    2.45e+03     104.234       0.001
     2.46e+03    2.46e+03     104.257       0.001
     2.46e+03    2.46e+03     104.278       0.001
     2.46e+03    2.46e+03     104.297       0.001
     2.47e+03    2.47e+03     104.314       0.001
     2.47e+03    2.47e+03     104.328       0.001
     2.47e+03    2.47e+03     104.342       0.001
     2.47e+03    2.47e+03     104.353       0.001
     2.48e+03    2.48e+03     104.364       0.001
     2.48e+03    2.48e+03     104.373       0.001
     2.48e+03    2.48e+03     104.381       0.001
     2.49e+03    2.49e+03     104.388       0.001
     2.49e+03    2.49e+03     104.394       0.001
     2.49e+03    2.49e+03     104.399       0.001
      2.5e+03     2.5e+03     104.404       0.001
      2.5e+03     2.5e+03     104.407       0.001
      2.5e+03     2.5e+03     104.411       0.001
      2.5e+03     2.5e+03     104.413       0.001
     2.51e+03    2.51e+03     104.415       0.001
     2.51e+03    2.51e+03     104.417       0.001
     2.51e+03    2.51e+03     104.417       0.001
     2.52e+03    2.52e+03     104.418       0.001
     2.52e+03    2.52e+03     104.418       0.001
     2.52e+03    2.52e+03     104.419       0.001
     2.53e+03    2.53e+03     104.419       0.001
     2.53e+03    2.53e+03     104.419       0.001
     2.53e+03    2.53e+03     104.419       0.001
     2.53e+03    2.53e+03     104.418       0.001
     2.54e+03    2.54e+03     104.417       0.001
     2.54e+03    2.54e+03     104.416       0.001
     2.54e+03    2.54e+03     104.414       0.001
     2.55e+03    2.55e+03     104.412       0.001
     2.55e+03    2.55e+03     104.410       0.001
     2.55e+03    2.55e+03     104.408       0.001
     2.56e+03    2.56e+03     104.405       0.001
     2.56e+03    2.56e+03     104.402       0.001
     2.56e+03    2.56e+03     104.399       0.001
     2.56e+03    2.56e+03     104.396       0.001
     2.57e+03    2.57e+03     104.392       0.001
     2.57e+03    2.57e+03     104.389       0.001
     2.57e+03    2.57e+03     104.385       0.001
     2.58e+03    2.58e+03     104.381       0.001
     2.58e+03    2.58e+03     104.377       0.001
     2.58e+03    2.58e+03     104.372       0.001
     2.59e+03    2.59e+03     104.368       0.001
     2.59e+03    2.59e+03     104.363       0.001
     2.59e+03    2.59e+03     104.358       0.001
     2.59e+03    2.59e+03     104.353       0.001
      2.6e+03     2.6e+03     104.348       0.001
      2.6e+03     2.6e+03     104.343       0.001
      2.6e+03     2.6e+03     104.338       0.001
     2.61e+03    2.61e+03     104.333       0.001
     2.61e+03    2.61e+03     104.327       0.001
     2.61e+03    2.61e+03     104.322       0.001
     2.62e+03    2.62e+03     104.317       0.001
     2.62e+03    2.62e+03     104.312       0.001
     2.62e+03    2.62e+03     104.307       0.001
     2.62e+03    2.62e+03     104.302       0.001
     2.63e+03    2.63e+03     104.296       0.001
     2.63e+03    2.63e+03     104.291       0.001
     2.63e+03    2.63e+03     104.285       0.001
     2.64e+03    2.64e+03     104.280       0.001
     2.64e+03    2.64e+03     104.274       0.001
     2.64e+03    2.64e+03     104.269       0.001
     2.65e+03    2.65e+03     104.264       0.001
     2.65e+03    2.65e+03     104.258       0.001
     2.65e+03    2.65e+03     104.253       0.001
     2.65e+03    2.65e+03     104.247       0.001
     2.66e+03    2.66e+03     104.242       0.001
     2.66e+03    2.66e+03     104.236       0.001
     2.66e+03    2.66e+03     104.230       0.001
     2.67e+03    2.67e+03     104.224       0.001
     2.67e+03    2.67e+03     104.219       0.001
     2.67e+03    2.67e+03     104.213       0.001
     2.68e+03    2.68e+03     104.207       0.001
     2.68e+03    2.68e+03     104.201       0.001
     2.68e+03    2.68e+03     104.195       0.001
     2.68e+03    2.68e+03     104.189       0.001
     2.69e+03    2.69e+03     104.183       0.001
     2.69e+03    2.69e+03     104.177       0.001
     2.69e+03    2.69e+03     104.171       0.001
      2.7e+03     2.7e+03     104.164       0.001
      2.7e+03     2.7e+03     104.158       0.001
      2.7e+03     2.7e+03     104.151       0.001
     2.71e+03    2.71e+03     104.145       0.001
     2.71e+03    2.71e+03     104.138       0.001
     2.71e+03    2.71e+03     104.132       0.001
     2.71e+03    2.71e+03     104.125       0.001
     2.72e+03    2.72e+03     104.118       0.001
     2.72e+03    2.72e+03     104.112       0.001
     2.72e+03    2.72e+03     104.105       0.001
     2.73e+03    2.73e+03     104.098       0.001
     2.73e+03    2.73e+03     104.091       0.001
     2.73e+03    2.73e+03     104.084       0.001
     2.74e+03    2.74e+03     104.078       0.001
     2.74e+03    2.74e+03     104.071       0.001
     2.74e+03    2.74e+03     104.064       0.001
     2.74e+03    2.74e+03     104.058       0.001
     2.75e+03    2.75e+03     104.051       0.001
     2.75e+03    2.75e+03     104.044       0.001
     2.75e+03    2.75e+03     104.037       0.001
     2.76e+03    2.76e+03     104.030       0.001
     2.76e+03    2.76e+03     104.022       0.001
     2.76e+03    2.76e+03     104.015       0.001
     2.77e+03    2.77e+03     104.008       0.001
     2.77e+03    2.77e+03     104.001       0.001
     2.77e+03    2.77e+03     103.994       0.001
     2.77e+03    2.77e+03     103.986       0.001
     2.78e+03    2.78e+03     103.979       0.001
     2.78e+03    2.78e+03     103.971       0.001
     2.78e+03    2.78e+03     103.963       0.001
     2.79e+03    2.79e+03     103.955       0.001
     2.79e+03    2.79e+03     103.947       0.001
     2.79e+03    2.79e+03     103.939       0.001
      2.8e+03     2.8e+03     103.930       0.001
      2.8e+03     2.8e+03     103.921       0.001
      2.8e+03     2.8e+03     103.912       0.001
      2.8e+03     2.8e+03     103.903       0.001
     2.81e+03    2.81e+03     103.894       0.001
     2.81e+03    2.81e+03     103.884       0.001
     2.81e+03    2.81e+03     103.874       0.001
     2.82e+03    2.82e+03     103.865       0.001
     2.82e+03    2.82e+03     103.854       0.001
     2.82e+03    2.82e+03     103.844       0.001
     2.83e+03    2.83e+03     103.833       0.001
     2.83e+03    2.83e+03     103.822       0.001
     2.83e+03    2.83e+03     103.811       0.001
     2.83e+03    2.83e+03     103.800       0.001
     2.84e+03    2.84e+03     103.788       0.001
     2.84e+03    2.84e+03     103.776       0.001
     2.84e+03    2.84e+03     103.764       0.001
     2.85e+03    2.85e+03     103.751       0.001
     2.85e+03    2.85e+03     103.738       0.001
     2.85e+03    2.85e+03     103.724       0.001
     2.86e+03    2.86e+03     103.710       0.001
     2.86e+03    2.86e+03     103.695       0.001
     2.86e+03    2.86e+03     103.680       0.001
     2.86e+03    2.86e+03     103.665       0.001
     2.87e+03    2.87e+03     103.648       0.001
     2.87e+03    2.87e+03     103.631       0.001
     2.87e+03    2.87e+03     103.614       0.001
     2.88e+03    2.88e+03     103.595       0.001
     2.88e+03    2.88e+03     103.575       0.001
     2.88e+03    2.88e+03     103.555       0.001
     2.89e+03    2.89e+03     103.533       0.001
     2.89e+03    2.89e+03     103.511       0.001
     2.89e+03    2.89e+03     103.486       0.001
     2.89e+03    2.89e+03     103.460       0.001
      2.9e+03     2.9e+03     103.432       0.001
      2.9e+03     2.9e+03     103.402       0.001
      2.9e+03     2.9e+03     103.369       0.001
     2.91e+03    2.91e+03     103.334       0.001
     2.91e+03    2.91e+03     103.294       0.001
     2.91e+03    2.91e+03     103.251       0.001
     2.92e+03    2.92e+03     103.202       0.001
     2.92e+03    2.92e+03     103.147       0.001
     2.92e+03    2.92e+03     103.084       0.001
     2.92e+03    2.92e+03     103.011       0.001
     2.93e+03    2.93e+03     102.925       0.001
     2.93e+03    2.93e+03     102.822       0.001
     2.93e+03    2.93e+03     102.693       0.001
     2.94e+03    2.94e+03     102.526       0.001
     2.94e+03    2.94e+03     102.299       0.001
     2.94e+03    2.94e+03     101.962       0.001
     2.95e+03    2.95e+03     101.391       0.001
     2.95e+03    2.95e+03     100.760       0.001
     2.95e+03    2.95e+03     101.075       0.001
     2.95e+03    2.95e+03     101.641       0.001
     2.96e+03    2.96e+03     102.074       0.001
     2.96e+03    2.96e+03     102.340       0.001
     2.96e+03    2.96e+03     102.510       0.001
     2.97e+03    2.97e+03     102.617       0.001
     2.97e+03    2.97e+03     102.674       0.001
     2.97e+03    2.97e+03     102.687       0.001
     2.98e+03    2.98e+03     102.654       0.001
     2.98e+03    2.98e+03     102.569       0.001
     2.98e+03    2.98e+03     102.412       0.001
     2.98e+03    2.98e+03     102.138       0.001
     2.99e+03    2.99e+03     101.634       0.001
     2.99e+03    2.99e+03     101.267       0.001
     2.99e+03    2.99e+03     101.235       0.001
        3e+03       3e+03     101.477       0.001
        3e+03       3e+03     101.696    0.000501
